BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
557;30MAR1997:00:00:00;B;31DEC9999:00:00:00;20
559;11DEC2005:00:00:00;B;18JAN2010:00:00:00;40
559;19JAN2010:00:00:00;B;10FEB2011:00:00:00;30
559;11FEB2011:00:00:00;B;31DEC9999:00:00:00;25
563;11NOV2007:00:00:00;B;10FEB2011:00:00:00;10
563;11FEB2011:00:00:00;B;30JAN2012:00:00:00;8
563;31JAN2012:00:00:00;B;31MAR2017:00:00:00;7
563;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
565;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
566;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
567;27MAR1997:00:00:00;B;31DEC9999:00:00:00;20
570;11NOV2007:00:00:00;B;12APR2014:00:00:00;55
570;13APR2014:00:00:00;B;31MAR2019:00:00:00;53
571;11DEC2005:00:00:00;B;07FEB2009:00:00:00;15
571;08FEB2009:00:00:00;B;18JAN2010:00:00:00;10
571;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
571;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7
571;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
578;11DEC2005:00:00:00;B;07FEB2009:00:00:00;15
578;08FEB2009:00:00:00;B;18JAN2010:00:00:00;10
578;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
578;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7
578;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
580;11DEC2005:00:00:00;B;26NOV2009:00:00:00;5
580;27NOV2009:00:00:00;B;31DEC9999:00:00:00;5
584;11DEC2005:00:00:00;B;18JAN2010:00:00:00;15
584;19JAN2010:00:00:00;B;31MAR2017:00:00:00;7
584;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
590;11DEC2005:00:00:00;B;26NOV2009:00:00:00;10
590;27NOV2009:00:00:00;B;18JAN2010:00:00:00;10
590;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
590;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7
590;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
591;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10
591;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
591;11FEB2011:00:00:00;B;17JUN2011:00:00:00;7
591;18JUN2011:00:00:00;B;31MAR2017:00:00:00;7
591;01APR2017:00:00:00;B;18SEP2019:00:00:00;6
592;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10
592;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
592;11FEB2011:00:00:00;B;03SEP2014:00:00:00;7
592;04SEP2014:00:00:00;B;31MAR2017:00:00:00;7
592;01APR2017:00:00:00;B;18SEP2019:00:00:00;6
593;11DEC2005:00:00:00;B;17JUN2011:00:00:00;10
593;18JUN2011:00:00:00;B;30JAN2012:00:00:00;10
593;31JAN2012:00:00:00;B;16APR2013:00:00:00;9
593;17APR2013:00:00:00;B;03SEP2014:00:00:00;8
593;04SEP2014:00:00:00;B;31MAR2017:00:00:00;8
593;01APR2017:00:00:00;B;19SEP2019:00:00:00;7
603;11DEC2005:00:00:00;B;31DEC9999:00:00:00;10
