source,target,joint_var
0,9,CLE_DCI_JNT
0,118,BEN_IDT_ANO
1,9,CLE_DCI_JNT
1,118,BEN_IDT_ANO
2,9,CLE_DCI_JNT
2,118,BEN_IDT_ANO
3,9,CLE_DCI_JNT
3,118,BEN_IDT_ANO
4,9,CLE_DCI_JNT
4,118,BEN_IDT_ANO
5,9,CLE_DCI_JNT
5,118,BEN_IDT_ANO
6,9,CLE_DCI_JNT
6,118,BEN_IDT_ANO
7,9,CLE_DCI_JNT
7,118,BEN_IDT_ANO
8,9,CLE_DCI_JNT
8,118,BEN_IDT_ANO
9,118,BEN_IDT_ANO
9,119,BEN_IDT_ANO
9,124,PFS_EXE_NUM => PFS_PFS_NUM | PFS_PRE_NUM => PFS_PFS_NUM | PRS_MTT_NUM => PFS_PFS_NUM
10,31,ETA_NUM + SEQ_NUM
11,26,ETA_NUM + RSA_NUM
12,31,ETA_NUM + SEQ_NUM
13,26,ETA_NUM + RSA_NUM
14,26,ETA_NUM + RSA_NUM
15,31,ETA_NUM + SEQ_NUM
16,26,ETA_NUM + RSA_NUM
17,26,ETA_NUM + RSA_NUM
18,26,ETA_NUM + RSA_NUM
19,26,ETA_NUM + RSA_NUM
20,26,ETA_NUM + RSA_NUM
21,26,ETA_NUM + RSA_NUM
22,26,ETA_NUM + RSA_NUM
23,26,ETA_NUM + RSA_NUM
24,26,ETA_NUM + RSA_NUM
25,26,ETA_NUM + RSA_NUM
26,39,ETA_NUM
27,26,ETA_NUM + RSA_NUM
28,31,ETA_NUM + SEQ_NUM
29,26,ETA_NUM + RSA_NUM
30,26,ETA_NUM + RSA_NUM
31,39,ETA_NUM
32,26,ETA_NUM + RSA_NUM | Bidirectionnel
32,119,NIR_ANO_17 => BEN_NIR_PSA
33,26,ETA_NUM + RSA_NUM
34,26,ETA_NUM + RSA_NUM
35,26,ETA_NUM + RSA_NUM
36,26,ETA_NUM + RSA_NUM
37,26,ETA_NUM + RSA_NUM
38,26,ETA_NUM + RSA_NUM
40,26,ETA_NUM + RSA_NUM
41,31,ETA_NUM + SEQ_NUM
42,26,ETA_NUM + RSA_NUM
43,31,ETA_NUM + SEQ_NUM
44,31,ETA_NUM + SEQ_NUM
45,31,ETA_NUM + SEQ_NUM | Bidirectionnel
45,119,NIR_ANO_17 => BEN_NIR_PSA
46,60,ETA_NUM
47,46,ETA_NUM + RHA_NUM
48,46,ETA_NUM + RHA_NUM
49,46,ETA_NUM + RHA_NUM
50,46,ETA_NUM + RHA_NUM
51,46,ETA_NUM + RHA_NUM
52,46,ETA_NUM + RHA_NUM
53,46,ETA_NUM + RHA_NUM | Bidirectionnel
53,119,NIR_ANO_17 => BEN_NIR_PSA
54,46,ETA_NUM + RHA_NUM
55,70,ETA_NUM + SEQ_NUM
56,46,ETA_NUM + RHA_NUM
57,46,ETA_NUM + RHA_NUM
58,46,ETA_NUM + RHA_NUM
59,70,ETA_NUM + SEQ_NUM | Bidirectionnel
59,119,NIR_ANO_17 => BEN_NIR_PSA
61,70,ETA_NUM + SEQ_NUM
62,46,ETA_NUM + RHA_NUM
63,46,ETA_NUM + RHA_NUM
64,46,ETA_NUM + RHA_NUM
65,70,ETA_NUM + SEQ_NUM
66,46,ETA_NUM + RHA_NUM
67,46,ETA_NUM + RHA_NUM
68,46,ETA_NUM + RHA_NUM
69,46,ETA_NUM + RHA_NUM
70,60,ETA_NUM
71,70,ETA_NUM + SEQ_NUM
74,85,ETA_NUM_EPMSI + RIP_NUM
76,85,ETA_NUM_EPMSI + RIP_NUM
77,85,ETA_NUM_EPMSI + RIP_NUM
78,85,ETA_NUM_EPMSI + RIP_NUM
79,85,ETA_NUM_EPMSI + RIP_NUM
80,85,ETA_NUM_EPMSI + RIP_NUM
81,85,ETA_NUM_EPMSI + RIP_NUM | Bidirectionnel
81,119,NIR_ANO_17 => BEN_NIR_PSA
82,85,ETA_NUM_EPMSI + RIP_NUM
83,85,ETA_NUM_EPMSI + RIP_NUM
84,85,ETA_NUM_EPMSI + RIP_NUM
85,75,ETA_NUM_EPMSI => ETA_NUM
86,85,ETA_NUM_EPMSI + RIP_NUM
87,85,ETA_NUM_EPMSI + RIP_NUM
88,85,ETA_NUM_EPMSI + RIP_NUM
89,85,ETA_NUM_EPMSI + RIP_NUM
90,102,ETA_NUM_EPMSI + RHAD_NUM
93,102,ETA_NUM_EPMSI + RHAD_NUM
94,102,ETA_NUM_EPMSI + RHAD_NUM
95,102,ETA_NUM_EPMSI + RHAD_NUM
96,102,ETA_NUM_EPMSI + RHAD_NUM
97,102,ETA_NUM_EPMSI + RHAD_NUM
98,102,ETA_NUM_EPMSI + RHAD_NUM
99,102,ETA_NUM_EPMSI + RHAD_NUM
100,102,ETA_NUM_EPMSI + RHAD_NUM | Bidirectionnel
100,119,NIR_ANO_17 => BEN_NIR_PSA
101,102,ETA_NUM_EPMSI + RHAD_NUM
102,91,ETA_NUM_EPMSI => ETA_NUM
102,92,ETA_NUM_EPMSI
103,102,ETA_NUM_EPMSI + RHAD_NUM
104,102,ETA_NUM_EPMSI + RHAD_NUM
105,102,ETA_NUM_EPMSI + RHAD_NUM
106,102,ETA_NUM_EPMSI + RHAD_NUM
107,102,ETA_NUM_EPMSI + RHAD_NUM
108,102,ETA_NUM_EPMSI + RHAD_NUM
109,102,ETA_NUM_EPMSI + RHAD_NUM
110,102,ETA_NUM_EPMSI + RHAD_NUM
111,102,ETA_NUM_EPMSI + RHAD_NUM
112,102,ETA_NUM_EPMSI + RHAD_NUM
113,118,BEN_IDT_ANO
113,119,BEN_IDT_ANO
114,118,BEN_IDT_ANO
114,119,BEN_IDT_ANO
115,116,id_carto
116,119,ben_nir_psa + ben_rng_gem => BEN_NIR_PSA + BEN_RNG_GEM
117,116,id_carto
118,119,BEN_IDT_ANO | Bidirectionnel
120,118,BEN_IDT_ANO
120,119,BEN_NIR_PSA + BEN_RNG_GEM
121,118,BEN_IDT_ANO
121,119,BEN_NIR_PSA + BEN_RNG_GEM
122,119,BEN_NIR_PSA + BEN_RNG_GEM
123,118,BEN_IDT_ANO
123,119,BEN_NIR_PSA + BEN_RNG_GEM
125,118,BEN_IDT_ANO
125,119,BEN_NIR_PSA + BEN_RNG_GEM
126,118,BEN_IDT_ANO
126,119,BEN_NIR_PSA + BEN_RNG_GEM
