table,var,format,description,nomenclature
CT_DEP_AAAA_GN,DEP_DGF_ACE_BSE,number (8),Actes et consultations externes MCO secteur public remboursables,-
CT_DEP_AAAA_GN,DEP_DGF_ACE_MNT,number (8),Actes et consultations externes MCO secteur public remboursés,-
CT_DEP_AAAA_GN,DEP_DGF_HAD_BSE,number (8),Hospitalisations en HAD secteur public remboursables,-
CT_DEP_AAAA_GN,DEP_DGF_HAD_MNT,number (8),Hospitalisations en HAD secteur public remboursées,-
CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_BSE,number (8),Hospitalisations séjour MCO secteur public remboursables,-
CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_MNT,number (8),Hospitalisations séjour MCO secteur public remboursées,-
CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_BSE,number (8),Hospitalisations liste en sus MCO secteur public remboursables,-
CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_MNT,number (8),Hospitalisations liste en sus MCO secteur public remboursées,-
CT_DEP_AAAA_GN,DEP_DGF_PSY_BSE,number (8),Hospitalisations en psychiatrie secteur public remboursables,-
CT_DEP_AAAA_GN,DEP_DGF_PSY_MNT,number (8),Hospitalisations en psychiatrie secteur public remboursées,-
CT_DEP_AAAA_GN,DEP_DGF_SSR_BSE,number (8),Hospitalisations en SSR secteur public remboursables,-
CT_DEP_AAAA_GN,DEP_DGF_SSR_MNT,number (8),Hospitalisations en SSR secteur public remboursées,-
CT_DEP_AAAA_GN,DEP_IJMALATMP_BSE,number (8),Indemnités journalières maladie et AT/MP remboursables,-
CT_DEP_AAAA_GN,DEP_IJMALATMP_MNT,number (8),Indemnités journalières maladie et AT/MP remboursées,-
CT_DEP_AAAA_GN,DEP_IJMATER_BSE,number (8),Indemnités journalières maternité et autres prestations remboursables,-
CT_DEP_AAAA_GN,DEP_IJMATER_MNT,number (8),Indemnités journalières maternité et autres prestations remboursées,-
CT_DEP_AAAA_GN,DEP_INVALID_BSE,number (8),Prestations d'invalidité remboursables,-
CT_DEP_AAAA_GN,DEP_INVALID_MNT,number (8),Prestations d'invalidité remboursées,-
CT_DEP_AAAA_GN,DEP_OQN_HAD_BSE,number (8),Hospitalisations en HAD secteur privé remboursables,-
CT_DEP_AAAA_GN,DEP_OQN_HAD_MNT,number (8),Hospitalisations en HAD secteur privé remboursées,-
CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_BSE,number (8),Hospitalisations liste en sus MCO secteur privé remboursables,-
CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_MNT,number (8),Hospitalisations liste en sus MCO secteur privé remboursées,-
CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_BSE,number (8),Soins d'autres paramédicaux remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_MNT,number (8),Soins d'autres paramédicaux remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_AUTRES_BSE,number (8),Autres dépenses de soins de ville remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_AUTRES_MNT,number (8),Autres dépenses de soins de ville remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_BIO_BSE,number (8),Biologie remboursable,-
CT_DEP_AAAA_GN,DEP_SDV_BIO_MNT,number (8),Biologie remboursée,-
CT_DEP_AAAA_GN,DEP_SDV_HONODENT_BSE,number (8),Soins dentaires remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_HONODENT_MNT,number (8),Soins dentaires remboursés,-
CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_BSE,number (8),Soins de généralistes remboursables,-
CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_MNT,number (8),Soins de généralistes remboursés,-
