;Produit;Table;Libelle;Champ
1;BENEFICIAIRE;IR_BEN_R;Référentiel des bénéficiaires (DCIR);
2;BENEFICIAIRE;IR_IBA_R;Référentiel des bénéficiaires (DCIRS);
3;DCIR/DCIRS;IR_IMB_R;Référentiel médicalisé des bénéficiaires (ALD);
4;DCIR/DCIRS;IR_MAT_R;Maternité;
5;DCIR/DCIRS;IR_ORC_R;Affiliations à un organisme complémentaire;
6;DCIR/DCIRS;IR_MTT_R;Médecin traitant;
7;DCIR/DCIRS;IR_ETM_R;Exonérations du ticket modérateur liées à la personne ;
8;DCIR/DCIRS;IR_ACS_R;Affiliations à l’Aide à l’acquisition d’une Complémentaire Santé (ACS) ;
9;DCIRS;NS_PRS_F;prestations;
10;DCIRS;NS_BIO_F;affinage des actes de biologie;
11;DCIRS;NS_CAM_F;affinage des actes médicaux (codage CCAM);
12;DCIRS;NS_DTR_F;affinage des actes de transport ;
13;DCIRS;NS_TRS_F;affinage des actes détaillés de transport ;
14;DCIRS;NS_INV_F;affinage des actes invalidité;
15;DCIRS;NS_RAT_F;affinage des rentes et accidents du travail;
16;DCIRS;NS_PHA_F;affinage des actes de pharmacie (officine de ville);
17;DCIRS;NS_UCD_F;affinage UCD (pharmacie hospitalière);
18;DCIRS;NS_TIP_F;affinage Liste des Produits et Prestations (LPP);
19;DCIR;ER_PRS_F;prestations;
20;DCIR;ER_BIO_F;affinage des actes de biologie;
21;DCIR;ER_CAM_F;affinage des actes médicaux (codage CCAM);
22;DCIR;ER_DTR_F;affinage des actes de transport ;
23;DCIR;ER_TRS_F;affinage des actes détaillés de transport ;
24;DCIR;ER_INV_F;affinage des actes invalidité;
25;DCIR;ER_RAT_F;affinage des rentes et accidents du travail;
26;DCIR;ER_PHA_F;affinage des actes de pharmacie (officine de ville);
27;DCIR;ER_UCD_F;affinage UCD (pharmacie hospitalière);
28;DCIR;ER_TIP_F;affinage Liste des Produits et Prestations (LPP);
29;DCIR;ER_DCT_F;Décomptes;
30;DCIR;ER_CPT_F;Données comptables;
31;DCIR;ER_ARO_F;Autre remboursement que régime obligatoire (partie complémentaire CMU-C, Alsace moselle, FNASS,…);
32;DCIR;ER_ETE_F;Informations liées à l'exécution dans un établissement;
33;DCIR;ER_LOT_F;Lot et numéro de série des prestations affinnées pharmacie;
34;DCIR;ER_ANO_F;Miroir;
35;DCIR/DCIRS;DA_PRA_R;Référentiel des professionnels de santé;
36;Causes de décès;KI_CCI_R;Certificats de décès;
37;Causes de décès;KI_ECD_R;Causes de décès;
38;CARTOGRAPHIE_PATHOLOGIES;CT_IDE_AAAA_GN;Table individus de la cartographie des pathologies pour l'année AAAA et l'algorithme N;Regime general
39;CARTOGRAPHIE_PATHOLOGIES;CT_IND_AAAA_GN;Table pathologies de la cartographie des pathologies pour l'année AAAA et l'algorithme N;Regime general
40;CARTOGRAPHIE_PATHOLOGIES;CT_DEP_AAAA_GN;Table dépenses de la cartographie des pathologies pour l'année AAAA et l'algorithme N;Regime general
41;PMSI MCO;T_MCOaa_nnA;Acte CCAM;Public et Privé
42;PMSI MCO;T_MCOaa_nnB;Description du Séjour;Public et Privé
43;PMSI MCO;T_MCOaa_nnC;NIR patient et Dates de soin;Public et Privé
44;PMSI MCO;T_MCOaa_nnD;Diagnostic associé;Public et Privé
45;PMSI MCO;T_MCOaa_nnE;Etablissement;Public et Privé
46;PMSI MCO;T_MCOaa_nnUM;Unité médicale;Public et Privé
47;PMSI MCO;T_MCOaa_nnGV2018;Table de passage en version de GHM à partir de mars de l'année suivante;Public et Privé
48;PMSI MCO;T_MCOaa_nnUPGV;Types d'autorisations d'unités médicales à portée globale valides;Public et Privé
49;PMSI MCO;T_MCOaa_nnSTC;Prise en charge;Public
50;PMSI MCO;T_MCOaa_nnVALO;Valorisation des séjours;Public
51;PMSI MCO;T_MCOaa_nnDMIP;Fich comp dmi en sus;Public
52;PMSI MCO;T_MCOaa_nnDIALP;Fich comp dialyse péritonéale en sus;Public
53;PMSI MCO;T_MCOaa_nnIVG;Fich comp IVG;Public
54;PMSI MCO;T_MCOaa_nnMED;Fich comp medicament en sus;Public
55;PMSI MCO;T_MCOaa_nnMEDATU;Fich comp médicament soumis à autorisation temporaire d'utilisation;Public et Privé
56;PMSI MCO;T_MCOaa_nnMEDTHROMBO;Fich comp Méd. thrombolytiques pour le traitement des AVC ischémiques ;Public
57;PMSI MCO;T_MCOaa_nnPIE;Fich comp prestation inter établissement;Public
58;PMSI MCO;T_MCOaa_nnPORG;Fich comp prélévement d'organe;Public
59;PMSI MCO;T_MCOaa_nnZ;Fich comp radiothérapie;Public
60;PMSI MCO;T_MCOaa_nnVALOACE;Valorisation des actes et consultations externes;Public
61;PMSI MCO;T_MCOaa_nnCSTC;ACE NIR/date;Public
62;PMSI MCO;T_MCOaa_nnFASTC;ACE Entete facture;Public
63;PMSI MCO;T_MCOaa_nnFBSTC;ACE Prestation;Public
64;PMSI MCO;T_MCOaa_nnFCSTC;ACE Honoraire;Public
65;PMSI MCO;T_MCOaa_nnFHSTC;ACE medicament en sus;Public
66;PMSI MCO;T_MCOaa_nnFLSTC;ACE biologie NABM;Public
67;PMSI MCO;T_MCOaa_nnFMSTC;ACE actes CCAM;Public
68;PMSI MCO;T_MCOaa_nnFPSTC;ACE DMI en sus;Public
69;PMSI MCO;T_MCOaa_nnFA;OQN Entete facture;Privé
70;PMSI MCO;T_MCOaa_nnFB;OQN Prestation;Privé
71;PMSI MCO;T_MCOaa_nnFC;OQN Honoraire;Privé
72;PMSI MCO;T_MCOaa_nnFI;OQN Interruption séjour;Privé
73;PMSI MCO;T_MCOaa_nnFL;OQN biologie NABM;Privé
74;PMSI MCO;T_MCOaa_nnFH;OQN medicament en sus;Privé
75;PMSI MCO;T_MCOaa_nnFM;OQN actes CCAM;Privé
76;PMSI MCO;T_MCOaa_nnFP;OQN DMI en sus;Privé
77;PMSI HAD;T_HADaa_nnA;Table des actes;Public et Privé
78;PMSI HAD;T_HADaa_nnB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);Public et Privé
79;PMSI HAD;T_HADaa_nnC;Table des NIR foinisé deux fois et date entrè/sortie complètes;Public et Privé
80;PMSI HAD;T_HADaa_nnE;Table des Etablissements;Public et Privé
