table,var,format,description,nomenclature
ER_PRS_F,BEN_AMA_COD,Numérique (4),Age du beneficiaire en mois (< 2 ans) ou annees (>= 2 ans),IR_AMA_V
ER_PRS_F,BEN_CDI_NIR,Caractère (2),Code identification du NIR,IR_NIR_V
ER_PRS_F,BEN_CMU_CAT,Caractère (1),Catégorie organisme complémentaire CMU,IR_COC_V
ER_PRS_F,BEN_CMU_ORG,Caractère (9),Organisme complémentaire CMU,IR_ORG_V
ER_PRS_F,BEN_CMU_TOP,Caractère (1),"Top bénéficiaire CMU Complémentaire (0 = non, 1 = oui, 2 = sans objet)",-
ER_PRS_F,BEN_DCD_AME,Caractère (6),Année et mois du décès du bénéficiaire (format AAAAMM),-
ER_PRS_F,BEN_DCD_DTE,Date (8),Date du décès du bénéficiaire (jour + mois + année),IR_DTE_V
ER_PRS_F,BEN_EHP_TOP,Caractère (1),"Top patient hébergé en EHPAD (0 = non, 1 = oui, 2 = sans objet)",-
ER_PRS_F,BEN_IAT_CAT,Caractère (2),Catégorie du bénéficiaire (Invalidité / RAT),IR_CBI_V
ER_PRS_F,BEN_NAI_ANN,Caractère (4),Année de naissance du bénéficiaire (format AAAA),-
ER_PRS_F,BEN_PAI_CMU,Caractère (1),Type de procédure de paiement CMU,IR_TCM_V
ER_PRS_F,BEN_NIR_PSA,Caractère (17),Identifiant anonyme du bénéficiaire,-
ER_PRS_F,BEN_RNG_GEM,Numérique (1),Rang de naissance du bénéficiaire,-
ER_PRS_F,BEN_QAF_COD,Numérique (8),Qualité affinée du bénéficiaire,IR_QBA_V
ER_PRS_F,BEN_RES_COM,Caractère (3),Commune de résidence du bénéficiaire,IR_GEO_V
ER_PRS_F,BEN_RES_DPT,Caractère (3),Département de résidence du bénéficiaire,IR_DPT_V
ER_PRS_F,BEN_SEX_COD,Numérique (1),Sexe du bénéficiaire,IR_SEX_V
ER_PRS_F,ORG_AFF_BEN,Caractère (9),Organisme d'affiliation du bénéficiaire,IR_ORG_V
ER_PRS_F,PRS_REJ_TOP,Caractère (1),Rejet ou signalement,-
ER_PRS_F,EXE_SOI_AMD,Caractère (6),Année et mois de début soins/exécution  (format AAAAMM),-
ER_PRS_F,EXE_SOI_AMF,Caractère (6),Année et mois de fin soins/exécution  (format AAAAMM),-
ER_PRS_F,EXE_SOI_DTD,Date (8),Date de début soins/exécution  (jour + mois + année),IR_DTE_V
ER_PRS_F,EXE_SOI_DTF,Date (8),Date de fin soins/exécution  (jour + mois + année),IR_DTE_V
ER_PRS_F,PRE_PRE_AMD,Caractère (6),Année et mois de prescription (format AAAAMM),-
ER_PRS_F,PRE_PRE_DTD,Date (8),Date de prescription  (jour + mois + année),IR_DTE_V
ER_PRS_F,PRS_GRS_DTD,Date (8),Date présumée de grossesse (jour + mois + année),IR_DTE_V
ER_PRS_F,PRS_HOS_AMD,Caractère (6),Année et mois début hospitalisation  (format AAAAMM),-
ER_PRS_F,PRS_HOS_DTD,Date (8),Date de début d'hospitalisation  (jour + mois + année),IR_DTE_V
