"nom_table";"CAM_PRS_IDE_COD";"CAM_PRS_IDE_LIB"
"CAM_PRS_IDE";"AHQP001";"Électromyographie par électrode de surface, sans enregistrement vidéo"
"CAM_PRS_IDE";"AHQP002";"Électromyographie par électrode de surface, avec enregistrement vidéo"
"CAM_PRS_IDE";"AHQB027";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille"
"CAM_PRS_IDE";"AHQB025";"Électromyographie de 1 ou 2 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille"
"CAM_PRS_IDE";"AHQB024";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort sans stimulodétection, par électrode aiguille"
"CAM_PRS_IDE";"AHQB026";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille"
"CAM_PRS_IDE";"AHQB013";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille"
"CAM_PRS_IDE";"AHQB032";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs"
"CAM_PRS_IDE";"AHQB033";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus"
"CAM_PRS_IDE";"AHQB015";"Électromyographie de fibre unique, par électrode aiguille"
"CAM_PRS_IDE";"AHQB006";"Macroélectromyographie, par électrode aiguille"
"CAM_PRS_IDE";"AHQB001";"Électromyographie, au lit du malade"
"CAM_PRS_IDE";"AHQP003";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale"
"CAM_PRS_IDE";"AHQP008";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs"
"CAM_PRS_IDE";"AHQP010";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale"
"CAM_PRS_IDE";"AHQP009";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs"
"CAM_PRS_IDE";"AHQP011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs"
"CAM_PRS_IDE";"AHQP012";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus"
"CAM_PRS_IDE";"AHQP013";"Mesure des vitesses de conduction sensitive du nerf dorsal du pénis"
"CAM_PRS_IDE";"ADQP014";"Mesure du réflexe trigéminopalpébral [réflexe de clignement] et/ou du réflexe massétérin"
"CAM_PRS_IDE";"AHQB019";"Mesure des latences des réflexes sacraux"
"CAM_PRS_IDE";"AHQD003";"Mesure des latences distales du nerf pudendal [nerf honteux], par stimulation intrarectale"
"CAM_PRS_IDE";"AHRP001";"Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire"
"CAM_PRS_IDE";"AHQP900";"Mesure du réflexe nociceptif R III"
"CAM_PRS_IDE";"AHQP016";"Mesure des réflexes H et/ou T"
"CAM_PRS_IDE";"AAQP007";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo"
"CAM_PRS_IDE";"AAQP129";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 30 minutes, avec numérisation et enregistrement vidéo, chez un patient de moins de 6 ans"
"CAM_PRS_IDE";"AAQP350";"Électroencéphalographie sur 14 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, avec numérisation chez un patient de 6 ans ou plus"
"CAM_PRS_IDE";"AAQP011";"Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, au lit du malade"
"CAM_PRS_IDE";"AAQP006";"Électroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo"
"CAM_PRS_IDE";"AAQP010";"Électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo"
