BTF_PRS_IDE__BTF_HIS_DTD;BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
557__30MAR1997:00:00:00;557;30MAR1997:00:00:00;B;31DEC9999:00:00:00;20
559__11DEC2005:00:00:00;559;11DEC2005:00:00:00;B;18JAN2010:00:00:00;40
559__19JAN2010:00:00:00;559;19JAN2010:00:00:00;B;10FEB2011:00:00:00;30
559__11FEB2011:00:00:00;559;11FEB2011:00:00:00;B;31DEC9999:00:00:00;25
563__11NOV2007:00:00:00;563;11NOV2007:00:00:00;B;10FEB2011:00:00:00;10
563__11FEB2011:00:00:00;563;11FEB2011:00:00:00;B;30JAN2012:00:00:00;8
563__31JAN2012:00:00:00;563;31JAN2012:00:00:00;B;31MAR2017:00:00:00;7
563__01APR2017:00:00:00;563;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
565__27MAR1997:00:00:00;565;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
566__27MAR1997:00:00:00;566;27MAR1997:00:00:00;B;31DEC9999:00:00:00;60
567__27MAR1997:00:00:00;567;27MAR1997:00:00:00;B;31DEC9999:00:00:00;20
570__11NOV2007:00:00:00;570;11NOV2007:00:00:00;B;12APR2014:00:00:00;55
570__13APR2014:00:00:00;570;13APR2014:00:00:00;B;31MAR2019:00:00:00;53
571__11DEC2005:00:00:00;571;11DEC2005:00:00:00;B;07FEB2009:00:00:00;15
571__08FEB2009:00:00:00;571;08FEB2009:00:00:00;B;18JAN2010:00:00:00;10
571__19JAN2010:00:00:00;571;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
571__11FEB2011:00:00:00;571;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7
571__01APR2017:00:00:00;571;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
578__11DEC2005:00:00:00;578;11DEC2005:00:00:00;B;07FEB2009:00:00:00;15
578__08FEB2009:00:00:00;578;08FEB2009:00:00:00;B;18JAN2010:00:00:00;10
578__19JAN2010:00:00:00;578;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
578__11FEB2011:00:00:00;578;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7
578__01APR2017:00:00:00;578;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
580__11DEC2005:00:00:00;580;11DEC2005:00:00:00;B;26NOV2009:00:00:00;5
580__27NOV2009:00:00:00;580;27NOV2009:00:00:00;B;31DEC9999:00:00:00;5
584__11DEC2005:00:00:00;584;11DEC2005:00:00:00;B;18JAN2010:00:00:00;15
584__19JAN2010:00:00:00;584;19JAN2010:00:00:00;B;31MAR2017:00:00:00;7
584__01APR2017:00:00:00;584;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
590__11DEC2005:00:00:00;590;11DEC2005:00:00:00;B;26NOV2009:00:00:00;10
590__27NOV2009:00:00:00;590;27NOV2009:00:00:00;B;18JAN2010:00:00:00;10
590__19JAN2010:00:00:00;590;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
590__11FEB2011:00:00:00;590;11FEB2011:00:00:00;B;31MAR2017:00:00:00;7
590__01APR2017:00:00:00;590;01APR2017:00:00:00;B;31DEC9999:00:00:00;6
591__11DEC2005:00:00:00;591;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10
591__19JAN2010:00:00:00;591;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
591__11FEB2011:00:00:00;591;11FEB2011:00:00:00;B;17JUN2011:00:00:00;7
591__18JUN2011:00:00:00;591;18JUN2011:00:00:00;B;31MAR2017:00:00:00;7
591__01APR2017:00:00:00;591;01APR2017:00:00:00;B;18SEP2019:00:00:00;6
592__11DEC2005:00:00:00;592;11DEC2005:00:00:00;B;18JAN2010:00:00:00;10
592__19JAN2010:00:00:00;592;19JAN2010:00:00:00;B;10FEB2011:00:00:00;8
592__11FEB2011:00:00:00;592;11FEB2011:00:00:00;B;03SEP2014:00:00:00;7
592__04SEP2014:00:00:00;592;04SEP2014:00:00:00;B;31MAR2017:00:00:00;7
592__01APR2017:00:00:00;592;01APR2017:00:00:00;B;18SEP2019:00:00:00;6
593__11DEC2005:00:00:00;593;11DEC2005:00:00:00;B;17JUN2011:00:00:00;10
