UCD_UCD_COD;HCO_COU_DTD;UCD_LIS_TOP;HCO_COU_DTF;UCD_DOC_DTE;UCD_DOC_LIB
0000009010750;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009019840;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009019857;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009025711;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009109827;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009117867;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009120651;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009120668;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009122348;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009123201;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009124494;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009136876;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009137172;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009137189;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009137580;10FEB2011:00:00:00;1;;09FEB2011:00:00:00;JO
0000009145332;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009145349;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009145355;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009145361;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009145378;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009145444;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009145450;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009149063;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009149086;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009149092;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009149100;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009149117;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009149123;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009153395;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009153403;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009153857;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009156086;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009157849;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009157855;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009160509;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009163577;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009168014;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009171341;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009172607;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009173311;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009175801;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009178082;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009178099;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009179213;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009179236;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009179242;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009182066;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009182190;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009182209;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009182356;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009182480;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009184438;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009184467;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009184711;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009186437;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009186443;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009187023;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009189944;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009191527;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009191533;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009191556;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009192107;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009192113;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009192136;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009194460;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009195726;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009196163;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009196186;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009196192;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009196200;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009197702;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009197719;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202308;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202314;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202320;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202774;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202780;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202834;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202840;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202857;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009202863;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009208245;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009208251;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009208268;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
0000009208280;03FEB2007:00:00:00;1;;02FEB2007:00:00:00;JO
