UCD_UCD_COD;ETB_TOP_DTE;UCD_LIS_TOP;IDE_ETA_TYP;ETB_TOP_DTF;UCD_DOC_DTE;UCD_DOC_LIB
0000009416630;25NOV2016:00:00:00;2;1;;24NOV2016:00:00:00;JO
0000009416630;25NOV2016:00:00:00;2;2;;24NOV2016:00:00:00;JO
0000009416653;26MAY2016:00:00:00;2;1;;25MAY2016:00:00:00;JO
0000009416653;26MAY2016:00:00:00;2;2;;25MAY2016:00:00:00;JO
0000009416676;26MAY2016:00:00:00;2;1;;25MAY2016:00:00:00;JO
0000009416676;26MAY2016:00:00:00;2;2;;25MAY2016:00:00:00;JO
0000009416920;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009416920;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009416937;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009416937;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009416943;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009416943;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009416966;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009416966;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009416972;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009416972;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009416995;17DEC2016:00:00:00;2;1;;16DEC2016:00:00:00;JO
0000009416995;17DEC2016:00:00:00;2;2;;16DEC2016:00:00:00;JO
0000009417003;17DEC2016:00:00:00;2;1;;16DEC2016:00:00:00;JO
0000009417003;17DEC2016:00:00:00;2;2;;16DEC2016:00:00:00;JO
0000009417227;17JUN2017:00:00:00;2;1;;16JUN2017:00:00:00;JO
0000009417227;17JUN2017:00:00:00;2;2;;16JUN2017:00:00:00;JO
0000009417233;17JUN2017:00:00:00;2;1;;16JUN2017:00:00:00;JO
0000009417233;17JUN2017:00:00:00;2;2;;16JUN2017:00:00:00;JO
0000009417256;17JUN2017:00:00:00;2;1;;16JUN2017:00:00:00;JO
0000009417256;17JUN2017:00:00:00;2;2;;16JUN2017:00:00:00;JO
0000009417569;03SEP2016:00:00:00;2;1;;02SEP2016:00:00:00;JO
0000009417569;03SEP2016:00:00:00;2;2;;02SEP2016:00:00:00;JO
0000009417575;25FEB2017:00:00:00;2;1;;24FEB2017:00:00:00;JO
0000009417575;25FEB2017:00:00:00;2;2;;24FEB2017:00:00:00;JO
0000009417983;06AUG2016:00:00:00;2;1;;05AUG2016:00:00:00;JO
0000009417983;06AUG2016:00:00:00;2;2;;05AUG2016:00:00:00;JO
0000009418095;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009418095;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009418103;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009418103;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009418126;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
0000009418126;15APR2017:00:00:00;2;2;;14APR2017:00:00:00;JO
0000009418132;15APR2017:00:00:00;2;1;;14APR2017:00:00:00;JO
