UCD_UCD_COD;UCD_ETA_COD;RSV_HOS_COD;PRE_HOS_COD;PHA_MED_PIH;UCD_SVP_COD;UCD_PSP_TOP;UCD_SPE_LIB;UCD_RCP_LI1;UCD_RCP_LI2;UCD_RCP_LI3;PHA_FRM_COD;PHA_FRM_LIB;PHA_FRC_COD;PHA_FRC_LIB;PHA_SUB_DOS;PHA_DOS_UNI;UCD_VOI_ADM;PHA_ATC_CLA;PHA_ATC_LIB;PHA_EPH_COD;PHA_EPH_LIB;UCD_INS_DTD;UCD_INS_DTF;UCD_LIS_TOP;INS_MTF_LIB
0000009203408;S;N;O;N;N;N;AMBISOME 50MG PDR INJ 30ML;AMBISOME 50 MG, POUDRE POUR SUSPENSION DE LIPOSOMES POUR PERFUSION;;;44;POUDRE;61;LIPOSOME POUR PERFUSION. POUR SUSPENSION;35.0000;MG;INJECTABLE;J02AA01;AMPHOTERICINE B;J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES;31DEC2005:00:00:00;;1;
0000009203934;S;N;O;N;N;N;PIPERACILLINE MYL 1G PDR INJ;PIPERACILLINE MYLAN 1 G, POUDRE POUR SOLUTION INJECTABLE (I.M/I.V);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01CA12;PIPERACILLINE;J01H1;PENICILLINES A SPECTRE MOYEN ET ETROIT SEULES;29JUL2004:00:00:00;;1;
0000009203940;S;N;O;N;N;N;PIPERACILLINE MYL 2G PDR INJ;PIPERACILLINE MYLAN 2 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01CA12;PIPERACILLINE;J01H1;PENICILLINES A SPECTRE MOYEN ET ETROIT SEULES;29JUL2004:00:00:00;;1;
0000009203957;S;N;O;N;N;N;PIPERACILLINE MYL 4G PDR INJ;PIPERACILLINE MYLAN 4 G, POUDRE POUR SOLUTION INJECTABLE (I.M/I.V);;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;;;;J01CA12;PIPERACILLINE;J01H1;PENICILLINES A SPECTRE MOYEN ET ETROIT SEULES;29JUL2004:00:00:00;;1;
0000009205459;S;N;O;N;O;N;VINCRISTINE TVC 0,1% SOL 1ML;VINCRISTINE TEVA CLASSICS 0,1% (1 mg/1 ml), solution injectable (I.V.);;;48;SOLUTION;295;SOLUTION INJECTABLE;;;;L01CA02;VINCRISTINE;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;29JUL2004:00:00:00;;1;
0000009206453;S;N;O;N;N;N;REVASC 15MG/0,5ML  SOL INJ;REVASC 15 MG, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE;;;44;POUDRE;314;POUDRE ET SOLVANT POUR SOLUTION INJ;30.0000;MG;INJECTABLE;B01AE01;DESIRUDINE;B01E;INHIBITEURS DIRECTS DE LA THROMBINE;29JUL2004:00:00:00;;1;
0000009206708;D;N;N;O;N;N;INTRONA 10 MUI SOL INJ OU PERF;INTRONA 10 millions d'UI/ml, solution injectable ou pour perfusion;;;48;SOLUTION;295;SOLUTION INJECTABLE SOLUTION POUR PERFUS;2.0000;MU;INJECTABLE;L03AB05;INTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009206714;S;N;N;O;N;N;INTRONA 18MUI/1,2ML INJ STYLO;INTRONA 18 MILLIONS D'UI, SOLUTION INJECTABLE, STYLO MULTIDOSE;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB05;INTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009206737;S;N;N;O;N;N;INTRONA 30MUI/1,2ML INJ STYLO;INTRONA 30 MILLIONS D'UI, SOLUTION INJECTABLE, STYLO MULTIDOSE;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB05;INTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009206766;S;N;N;O;N;N;INTRONA 60MUI/1,2ML INJ STYLO;INTRONA 60 MILLIONS D'UI, SOLUTION INJECTABLE, STYLO MULTIDOSE;;;48;SOLUTION;295;SOLUTION INJECTABLE;2.0000;MU;INJECTABLE;L03AB05;INTERFERON ALFA-2B;L03B1;INTERFERONS, ALPHA;27DEC2004:00:00:00;;1;
0000009206921;D;N;N;N;N;O;THYROGEN 0,9 MG PDR INJ;THYROGEN 0,9 mg, poudre pour solution injectable, flacon de 1 ml;;;44;POUDRE;312;POUDRE POUR SOLUTION INJECTABLE;0.9000;MG;INJECTABLE;H01AB01;THYROTROPHINE ALFA;T02X9;TOUT AUTRE TEST DIAGNOSTIQUE;22SEP2006:00:00:00;;1;
0000009208245;D;N;O;N;O;O;CISPLATINE TVC 10 MG/10 ML SOL INJ;CISPLATINE TEVA 1 MG/1 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009208251;S;N;O;N;O;O;CISPLATINE TVC 25MG/25ML INJ;CISPLATINE TEVA 1 MG/1 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;31DEC2005:00:00:00;;1;
0000009208268;D;N;O;N;O;O;CISPLATINE TVC 50 MG/50 ML SOL INJ;CISPLATINE TEVA 1 MG/1 ML, SOLUTION POUR PERFUSION;;;48;SOLUTION;296;SOLUTION POUR PERFUSION;;;;L01XA01;CISPLATINE;L01X2;DERIVES DU PLATINE;11MAY2005:00:00:00;;1;
0000009208280;D;N;O;N;O;O;ETOPOSIDE TVC 500 MG SOL INJ;ETOPOSIDE TEVA 500 MG/25 ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CB01;ETOPOSIDE;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;11MAY2005:00:00:00;;1;
0000009208297;D;N;O;N;O;O;ETOPOSIDE TVC 1000 MG SOL INJ;ETOPOSIDE TEVA 1000 MG/50 ML, SOLUTION A DILUER POUR PERFUSION;;;48;SOLUTION;290;SOLUTION A DILUER POUR PERFUSION;;;;L01CB01;ETOPOSIDE;L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE;11MAY2005:00:00:00;;1;
