DEN_NUM;DEN_LIB
1;ARCADE 01
2;ARCADE 02
3;SEXTANT 03
4;SEXTANT 04
5;SEXTANT 05
6;SEXTANT 06
7;SEXTANT 07
8;SEXTANT 08
10;QUADRANT 01
11;DENT 11
12;DENT 12
13;DENT 13
14;DENT 14
15;DENT 15
16;DENT 16
17;DENT 17
18;DENT 18
20;QUADRANT 02
21;DENT 21
22;DENT 22
23;DENT 23
24;DENT 24
25;DENT 25
26;DENT 26
27;DENT 27
28;DENT 28
30;QUADRANT 03
31;DENT 31
32;DENT 32
33;DENT 33
34;DENT 34
35;DENT 35
36;DENT 36
37;DENT 37
38;DENT 38
40;QUADRANT 04
41;DENT 41
42;DENT 42
43;DENT 43
44;DENT 44
45;DENT 45
46;DENT 46
47;DENT 47
48;DENT 48
51;DENT 51
52;DENT 52
53;DENT 53
54;DENT 54
55;DENT 55
61;DENT 61
62;DENT 62
63;DENT 63
64;DENT 64
65;DENT 65
71;DENT 71
72;DENT 72
73;DENT 73
74;DENT 74
75;DENT 75
81;DENT 81
82;DENT 82
83;DENT 83
84;DENT 84
85;DENT 85
