EMP_CAR_SAT;EMP_CNA_COD;EMP_CAR_LIB;TEC_COL
IIIIIIIIII;IIIIIIIIII;Valeur inconnue;1
XXXXXXXXXX;XXXXXXXXXX;Sans objet;2
13;07;Sud-Est;0
21;03;Bourgogne Franche-Comté;0
31;16;Midi-Pyrénées;0
33;01;Aquitaine;0
34;08;Languedoc-Roussillon;0
35;13;Bretagne;0
44;10;Pays de la Loire;0
45;11;Centre;0
54;09;Nord-Est;0
59;04;Nord-Picardie;0
63;02;Auvergne;0
67;15;Alsace Moselle;0
69;06;Rhône-Alpes;0
71;20;Guadeloupe;0
72;21;Martinique;0
73;22;Guyane;0
74;23;Réunion;0
75;35;Ile-de-France;0
76;14;Normandie;0
87;05;Centre-Ouest;0
