TA3_COD;TA3_LIB;TA3_RGP_COD;TEC_COL
0;0%;0;0
1;1%;1;0
2;2%;1;0
3;3%;1;0
4;4%;1;0
5;5%;1;0
6;6%;1;0
7;7%;1;0
8;8%;1;0
9;9%;1;0
10;10%;2;0
11;11%;2;0
12;12%;2;0
13;13%;2;0
14;14%;2;0
15;15%;2;0
16;16%;2;0
17;17%;2;0
18;18%;2;0
19;19%;2;0
20;20%;3;0
21;21%;3;0
22;22%;3;0
23;23%;3;0
24;24%;3;0
25;25%;3;0
26;26%;3;0
27;27%;3;0
28;28%;3;0
29;29%;3;0
30;30%;4;0
31;31%;4;0
32;32%;4;0
33;33%;4;0
34;34%;4;0
35;35%;4;0
36;36%;4;0
37;37%;4;0
38;38%;4;0
39;39%;4;0
40;40%;5;0
41;41%;5;0
42;42%;5;0
43;43%;5;0
44;44%;5;0
45;45%;5;0
46;46%;5;0
47;47%;5;0
48;48%;5;0
49;49%;5;0
50;50%;6;0
51;51%;6;0
52;52%;6;0
53;53%;6;0
54;54%;6;0
55;55%;6;0
56;56%;6;0
57;57%;6;0
58;58%;6;0
59;59%;6;0
60;60%;7;0
61;61%;7;0
62;62%;7;0
63;63%;7;0
64;64%;7;0
65;65%;7;0
66;66%;7;0
67;67%;7;0
68;68%;7;0
69;69%;7;0
70;70%;8;0
71;71%;8;0
72;72%;8;0
73;73%;8;0
74;74%;8;0
75;75%;8;0
76;76%;8;0
77;77%;8;0
78;78%;8;0
79;79%;8;0
80;80%;9;0
81;81%;9;0
82;82%;9;0
83;83%;9;0
84;84%;9;0
85;85%;9;0
86;86%;9;0
87;87%;9;0
88;88%;9;0
89;89%;9;0
90;90%;10;0
91;91%;10;0
92;92%;10;0
93;93%;10;0
94;94%;10;0
95;95%;10;0
96;96%;10;0
97;97%;10;0
98;98%;10;0
99;99%;10;0
100;100%;11;0
888;Sans objet;98;2
999;Valeur inconnue;99;1
