"nom_table";"TEC_COL";"AMA_AGE_COD";"AMA_NRS_TOP";"AMA_AGE_LIB";"CPT_COP_NUM"
"IR_AMA_V";0;1000;1;"Nourrisson 0 mois";NA
"IR_AMA_V";0;1001;1;"Nourrisson 1 mois";NA
"IR_AMA_V";0;1002;1;"Nourrisson 2 mois";NA
"IR_AMA_V";0;1003;1;"Nourrisson 3 mois";NA
"IR_AMA_V";0;1004;1;"Nourrisson 4 mois";NA
"IR_AMA_V";0;1005;1;"Nourrisson 5 mois";NA
"IR_AMA_V";0;1006;1;"Nourrisson 6 mois";NA
"IR_AMA_V";0;1007;1;"Nourrisson 7 mois";NA
"IR_AMA_V";0;1008;1;"Nourrisson 8 mois";NA
"IR_AMA_V";0;1009;1;"Nourrisson 9 mois";NA
"IR_AMA_V";0;1010;1;"Nourrisson 10 mois";NA
"IR_AMA_V";0;1011;1;"Nourrisson 11 mois";NA
"IR_AMA_V";0;1012;1;"Nourrisson 12 mois";NA
"IR_AMA_V";0;1013;1;"Nourrisson 13 mois";NA
"IR_AMA_V";0;1014;1;"Nourrisson 14 mois";NA
"IR_AMA_V";0;1015;1;"Nourrisson 15 mois";NA
"IR_AMA_V";0;1016;1;"Nourrisson 16 mois";NA
"IR_AMA_V";0;1017;1;"Nourrisson 17 mois";NA
"IR_AMA_V";0;1018;1;"Nourrisson 18 mois";NA
"IR_AMA_V";0;1019;1;"Nourrisson 19 mois";NA
"IR_AMA_V";0;1020;1;"Nourrisson 20 mois";NA
"IR_AMA_V";0;1021;1;"Nourrisson 21 mois";NA
"IR_AMA_V";0;1022;1;"Nourrisson 22 mois";NA
"IR_AMA_V";0;1023;1;"Nourrisson 23 mois";NA
"IR_AMA_V";0;2;0;"2 ans";NA
"IR_AMA_V";0;3;0;"3 ans";NA
"IR_AMA_V";0;4;0;"4 ans";NA
"IR_AMA_V";0;5;0;"5 ans";NA
"IR_AMA_V";0;6;0;"6 ans";NA
"IR_AMA_V";0;7;0;"7 ans";NA
"IR_AMA_V";0;8;0;"8 ans";NA
"IR_AMA_V";0;9;0;"9 ans";NA
"IR_AMA_V";0;10;0;"10 ans";NA
"IR_AMA_V";0;11;0;"11 ans";NA
"IR_AMA_V";0;12;0;"12 ans";NA
"IR_AMA_V";0;13;0;"13 ans";NA
"IR_AMA_V";0;14;0;"14 ans";NA
"IR_AMA_V";0;15;0;"15 ans";NA
"IR_AMA_V";0;16;0;"16 ans";NA
"IR_AMA_V";0;17;0;"17 ans";NA
"IR_AMA_V";0;18;0;"18 ans";NA
"IR_AMA_V";0;19;0;"19 ans";NA
"IR_AMA_V";0;20;0;"20 ans";NA
"IR_AMA_V";0;21;0;"21 ans";NA
"IR_AMA_V";0;22;0;"22 ans";NA
"IR_AMA_V";0;23;0;"23 ans";NA
"IR_AMA_V";0;24;0;"24 ans";NA
"IR_AMA_V";0;25;0;"25 ans";NA
"IR_AMA_V";0;26;0;"26 ans";NA
"IR_AMA_V";0;27;0;"27 ans";NA
"IR_AMA_V";0;28;0;"28 ans";NA
"IR_AMA_V";0;29;0;"29 ans";NA
"IR_AMA_V";0;30;0;"30 ans";NA
"IR_AMA_V";0;31;0;"31 ans";NA
"IR_AMA_V";0;32;0;"32 ans";NA
"IR_AMA_V";0;33;0;"33 ans";NA
"IR_AMA_V";0;34;0;"34 ans";NA
"IR_AMA_V";0;35;0;"35 ans";NA
"IR_AMA_V";0;36;0;"36 ans";NA
"IR_AMA_V";0;37;0;"37 ans";NA
"IR_AMA_V";0;38;0;"38 ans";NA
"IR_AMA_V";0;39;0;"39 ans";NA
"IR_AMA_V";0;40;0;"40 ans";NA
"IR_AMA_V";0;41;0;"41 ans";NA
"IR_AMA_V";0;42;0;"42 ans";NA
"IR_AMA_V";0;43;0;"43 ans";NA
"IR_AMA_V";0;44;0;"44 ans";NA
"IR_AMA_V";0;45;0;"45 ans";NA
"IR_AMA_V";0;46;0;"46 ans";NA
"IR_AMA_V";0;47;0;"47 ans";NA
"IR_AMA_V";0;48;0;"48 ans";NA
"IR_AMA_V";0;49;0;"49 ans";NA
"IR_AMA_V";0;50;0;"50 ans";NA
"IR_AMA_V";0;51;0;"51 ans";NA
"IR_AMA_V";0;52;0;"52 ans";NA
"IR_AMA_V";0;53;0;"53 ans";NA
"IR_AMA_V";0;54;0;"54 ans";NA
"IR_AMA_V";0;55;0;"55 ans";NA
"IR_AMA_V";0;56;0;"56 ans";NA
"IR_AMA_V";0;57;0;"57 ans";NA
"IR_AMA_V";0;58;0;"58 ans";NA
"IR_AMA_V";0;59;0;"59 ans";NA
"IR_AMA_V";0;60;0;"60 ans";NA
"IR_AMA_V";0;61;0;"61 ans";NA
"IR_AMA_V";0;62;0;"62 ans";NA
"IR_AMA_V";0;63;0;"63 ans";NA
"IR_AMA_V";0;64;0;"64 ans";NA
"IR_AMA_V";0;65;0;"65 ans";NA
"IR_AMA_V";0;66;0;"66 ans";NA
"IR_AMA_V";0;67;0;"67 ans";NA
"IR_AMA_V";0;68;0;"68 ans";NA
"IR_AMA_V";0;69;0;"69 ans";NA
"IR_AMA_V";0;70;0;"70 ans";NA
"IR_AMA_V";0;71;0;"71 ans";NA
"IR_AMA_V";0;72;0;"72 ans";NA
"IR_AMA_V";0;73;0;"73 ans";NA
"IR_AMA_V";0;74;0;"74 ans";NA
"IR_AMA_V";0;75;0;"75 ans";NA
"IR_AMA_V";0;76;0;"76 ans";NA
"IR_AMA_V";0;77;0;"77 ans";NA
"IR_AMA_V";0;78;0;"78 ans";NA
"IR_AMA_V";0;79;0;"79 ans";NA
"IR_AMA_V";0;80;0;"80 ans";NA
"IR_AMA_V";0;81;0;"81 ans";NA
"IR_AMA_V";0;82;0;"82 ans";NA
"IR_AMA_V";0;83;0;"83 ans";NA
"IR_AMA_V";0;84;0;"84 ans";NA
"IR_AMA_V";0;85;0;"85 ans";NA
"IR_AMA_V";0;86;0;"86 ans";NA
"IR_AMA_V";0;87;0;"87 ans";NA
"IR_AMA_V";0;88;0;"88 ans";NA
"IR_AMA_V";0;89;0;"89 ans";NA
"IR_AMA_V";0;90;0;"90 ans";NA
"IR_AMA_V";0;91;0;"91 ans";NA
"IR_AMA_V";0;92;0;"92 ans";NA
"IR_AMA_V";0;93;0;"93 ans";NA
"IR_AMA_V";0;94;0;"94 ans";NA
"IR_AMA_V";0;95;0;"95 ans";NA
"IR_AMA_V";0;96;0;"96 ans";NA
"IR_AMA_V";0;97;0;"97 ans";NA
"IR_AMA_V";0;98;0;"98 ans";NA
"IR_AMA_V";0;99;0;"99 ans";NA
"IR_AMA_V";0;100;0;"100 ans";NA
"IR_AMA_V";0;101;0;"101 ans";NA
"IR_AMA_V";0;102;0;"102 ans";NA
"IR_AMA_V";0;103;0;"103 ans";NA
"IR_AMA_V";0;104;0;"104 ans";NA
"IR_AMA_V";0;105;0;"105 ans";NA
"IR_AMA_V";0;106;0;"106 ans";NA
"IR_AMA_V";0;107;0;"107 ans";NA
"IR_AMA_V";0;108;0;"108 ans";NA
"IR_AMA_V";0;109;0;"109 ans";NA
