"nom_table";"TEC_COL";"BEN_IAT_CAT";"IAT_CAT_LIB";"CPT_COP_NUM"
"IR_CBI_V";0;1;"VICTIME";NA
"IR_CBI_V";0;2;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;3;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;4;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;5;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;6;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;7;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;8;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;9;"CONJOINTS SURVIVANTS (POLYGAME)";NA
"IR_CBI_V";0;11;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;12;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;13;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;14;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;15;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;16;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;17;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;18;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;19;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;20;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;21;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;22;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;23;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;24;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;25;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;26;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;27;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;28;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;29;"ENFANTS ET PETITS ENFANTS";NA
"IR_CBI_V";0;31;"ASCENDANTS";NA
"IR_CBI_V";0;32;"ASCENDANTS";NA
"IR_CBI_V";0;33;"ASCENDANTS";NA
"IR_CBI_V";0;34;"ASCENDANTS";NA
"IR_CBI_V";0;60;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;61;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;62;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;63;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;64;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;65;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;66;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;67;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;68;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;69;"EX-CONJOINTS (DIVORCES OU SEPARES)";NA
"IR_CBI_V";0;70;"CONJOINT (RENTE DE REVERSION)";NA
"IR_CBI_V";2;0;"SANS OBJET";NA
"IR_CBI_V";1;99;"VALEUR INCONNUE";NA
