"nom_table";"TEC_COL";"CAT_CIM_COD";"CAT_CIM_LIB";"CPT_COP_NUM"
"IR_CCI_V";0;"O74";"Complications de l'anesthésie au cours du travail et de l'accouchement";NA
"IR_CCI_V";0;"O80";"Accouchement unique et spontané";NA
"IR_CCI_V";0;"O85";"Sepsis puerpéral";NA
"IR_CCI_V";0;"P10";"Déchirure et hémorragie intracrâniennes dues à un traumatisme obstétrical";NA
"IR_CCI_V";0;"P21";"Asphyxie obstétricale";NA
"IR_CCI_V";0;"Q99";"Autres anomalies des chromosomes, non classées ailleurs";NA
"IR_CCI_V";0;"C04";"Tumeur maligne du plancher de la bouche";NA
"IR_CCI_V";0;"C05";"Tumeur maligne du palais";NA
"IR_CCI_V";0;"C14";"Tumeur maligne de la lèvre, de la cavité buccale et du pharynx, de sièges autres et mal définis";NA
"IR_CCI_V";0;"C24";"Tumeurs malignes des voies biliaires, autres et non précisées";NA
"IR_CCI_V";0;"C26";"Tumeur maligne des organes digestifs, de sièges autres et mal définis";NA
"IR_CCI_V";0;"C32";"Tumeur maligne du larynx";NA
"IR_CCI_V";0;"C40";"Tumeur maligne des os et du cartilage articulaire des membres";NA
"IR_CCI_V";0;"C50";"Tumeur maligne du sein";NA
"IR_CCI_V";0;"C57";"Tumeur maligne des organes génitaux de la femme, autres et non précisés";NA
"IR_CCI_V";0;"E24";"Syndrome de Cushing";NA
"IR_CCI_V";0;"E27";"Autres maladies de la glande surrénale";NA
"IR_CCI_V";0;"E45";"Retard de développement après malnutrition protéino-énergétique";NA
"IR_CCI_V";0;"E54";"Carence en acide ascorbique";NA
"IR_CCI_V";0;"E63";"Autres carences nutritionnelles";NA
"IR_CCI_V";0;"E70";"Anomalies du métabolisme des acides aminés aromatiques";NA
"IR_CCI_V";0;"D24";"Tumeur bénigne du sein";NA
"IR_CCI_V";0;"D45";"Polyglobulie essentielle";NA
"IR_CCI_V";0;"D46";"Syndromes myélodysplasiques";NA
"IR_CCI_V";0;"D50";"Anémie par carence en fer";NA
"IR_CCI_V";0;"D57";"Affections à hématies falciformes [drépanocytaires]";NA
"IR_CCI_V";0;"F25";"Troubles schizo-affectifs";NA
"IR_CCI_V";0;"F29";"Psychose non organique, sans précision";NA
"IR_CCI_V";0;"F30";"Épisode maniaque";NA
"IR_CCI_V";0;"F32";"Épisodes dépressifs";NA
"IR_CCI_V";0;"F41";"Autres troubles anxieux";NA
"IR_CCI_V";0;"F42";"Trouble obsessionnel-compulsif";NA
"IR_CCI_V";0;"F50";"Troubles de l'alimentation, non organique";NA
"IR_CCI_V";0;"F62";"Modification durable de la personnalité non attribuable à une lésion et une maladie cérébrales";NA
"IR_CCI_V";0;"F68";"Autres troubles de la personnalité et du comportement chez l'adulte";NA
"IR_CCI_V";0;"F69";"Trouble de la personnalité et du comportement chez l'adulte, sans précision";NA
"IR_CCI_V";0;"F88";"Autres troubles du développement psychologique";NA
"IR_CCI_V";0;"G00";"Méningite bactérienne, non classée ailleurs";NA
"IR_CCI_V";0;"G03";"Méningite due à des causes autres et non précisées";NA
"IR_CCI_V";0;"F19";"Troubles mentaux et du comportement liés à l'utilisation de drogues multiples et troubles liés à l'utilisation d'autres substances psycho-actives";NA
"IR_CCI_V";0;"H01";"Autres inflammations de la paupière";NA
"IR_CCI_V";0;"H02";"Autres affections des paupières";NA
"IR_CCI_V";0;"H10";"Conjonctivite";NA
"IR_CCI_V";0;"H11";"Autres affections de la conjonctive";NA
"IR_CCI_V";0;"D80";"Déficit immunitaire avec déficit prédominant de la production d'anticorps";NA
"IR_CCI_V";0;"F21";"Trouble schizotypique";NA
"IR_CCI_V";0;"F31";"Trouble affectif bipolaire";NA
"IR_CCI_V";0;"F34";"Troubles de l'humeur [affectifs] persistants";NA
"IR_CCI_V";0;"F52";"Dysfonctionnement sexuel, non dû à un trouble ou à une maladie organique";NA
"IR_CCI_V";0;"F55";"Abus de substances n'entraînant pas de dépendance";NA
"IR_CCI_V";0;"F70";"Retard mental léger";NA
"IR_CCI_V";0;"F71";"Retard mental moyen";NA
"IR_CCI_V";0;"F90";"Troubles hyperkinétiques";NA
"IR_CCI_V";0;"F95";"Tics";NA
"IR_CCI_V";0;"G04";"Encéphalite, myélite et encéphalomyélite";NA
"IR_CCI_V";0;"E80";"Anomalies du métabolisme de la porphyrine et de la bilirubine";NA
"IR_CCI_V";0;"E83";"Anomalies du métabolisme des minéraux";NA
