"nom_table";"TEC_COL";"ALD_030_COD";"CAT_CIM_COD";"CIM_COD";"CIM_LIB";"VER_CPT_COD";"VER_CPT_DTE";"CAT_TUM_COD";"CPT_COP_NUM"
"IR_CIM_V";0;99;"B26";"B268";"Oreillons avec autres complications";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B26";"B269";"Oreillons (sans complication)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B27";"B27";"Mononucléose infectieuse";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B27";"B270";"Mononucléose due à herpèsvirus gamma";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B27";"B271";"Mononucléose à cytomégalovirus";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B27";"B278";"Autres mononucléoses infectieuses";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B27";"B279";"Mononucléose infectieuse, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B30";"B30";"Conjonctivite virale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B30";"B300";"Kératoconjonctivite due à un adénovirus (H19.2*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B30";"B301";"Conjonctivite due à un adénovirus (H13.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B30";"B302";"Pharyngo-conjonctivite virale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B30";"B303";"Conjonctivite hémorragique (aiguë épidémique) (entérovirale) (H13.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B30";"B308";"Autres conjonctivites virales (H13.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B30";"B309";"Conjonctivite virale, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B33";"B33";"Autres maladies à virus, non classées ailleurs";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B33";"B330";"Myalgie épidémique";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B33";"B331";"Maladie de la Ross River";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B33";"B332";"Cardite virale";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B33";"B333";"Infections à rétrovirus, non classées ailleurs";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B33";"B334";"Syndrome (cardio-)pulmonaire à virus Hanta [hantavirus] [SPH] [SCPH] (J17.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B33";"B338";"Autres maladies à virus précisées";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B34";"Infection virale, siège non précisé";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B340";"Infection adénovirale, siège non précisé";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B341";"Infection entérovirale, siège non précisé";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B342";"Infection coronavirale, siège non précisé";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B343";"Infection parvovirale, siège non précisé";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B344";"Infection papovavirale, siège non précisé";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B348";"Autres infections virales, siège non précisé";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B34";"B349";"Infection virale, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B35";"Dermatophytose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B350";"Teigne de la barbe et du cuir chevelu";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B351";"Teigne de l'ongle";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B352";"Teigne de la main";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B353";"Teigne du pied";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B354";"Teigne de la peau glabre";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B355";"Teigne imbriquée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B356";"Teigne du membre inférieur";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B358";"Autres dermatophytoses";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B35";"B359";"Dermatophytose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B36";"B36";"Autres mycoses superficielles";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B36";"B360";"Pityriasis versicolor";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B36";"B361";"Tinea nigra";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B36";"B362";"Piedra blanche";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B36";"B363";"Piedra noire";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B36";"B368";"Autres mycoses superficielles précisées";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B36";"B369";"Mycose superficielle, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B37";"Candidose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B370";"Stomatite à Candida";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B371";"Candidose pulmonaire";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B372";"Candidose de la peau et des ongles";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B373";"Candidose de la vulve et du vagin (N77.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B374";"Candidose d'autres localisations uro-génitales";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B375";"Méningite à Candida (G02.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B376";"Endocardite à Candida (I39.8*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B377";"Sepsis à Candida";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B378";"Autres localisations de candidose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B37";"B379";"Candidose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B38";"Coccidioïdomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B380";"Coccidioïdomycose pulmonaire aiguë";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B381";"Coccidioïdomycose pulmonaire chronique";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B382";"Coccidioïdomycose pulmonaire, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B383";"Coccidioïdomycose cutanée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B384";"Méningite à coccidioïdomycose (G02.1*)";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B387";"Coccidioïdomycose disséminée";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B388";"Autres formes de coccidioïdomycose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B38";"B389";"Coccidioïdomycose, sans précision";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B39";"B39";"Histoplasmose";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B39";"B390";"Histoplasmose pulmonaire aiguë à Histoplasma capsulatum";"V8.0";"02JUL2017:00:00:00";NA;NA
"IR_CIM_V";0;99;"B39";"B391";"Histoplasmose pulmonaire chronique à Histoplasma capsulatum";"V8.0";"02JUL2017:00:00:00";NA;NA
