"nom_table";"TEC_COL";"CPT_COP_NUM";"DRG_NAT";"DRG_NAT_LIB";"DRG_TIE_PAY"
"IR_DRG_V";2;NA;0;"SANS OBJET";"SANS OBJET"
"IR_DRG_V";0;NA;10;"SANS TIERS PAYANT";"SANS TIERS PAYANT"
"IR_DRG_V";0;NA;31;"CORRESPONDANT D ENTREPRISE";"AVEC TIERS PAYANT"
"IR_DRG_V";0;NA;32;"MUTUELLE";"AVEC TIERS PAYANT"
"IR_DRG_V";0;NA;33;"SUBROGATION";"AVEC TIERS PAYANT"
"IR_DRG_V";0;NA;34;"TITRE MEDECIN";"AVEC TIERS PAYANT"
"IR_DRG_V";0;NA;35;"TIERS PAYANT (PART OBLIGATOIRE -RO)";"AVEC TIERS PAYANT"
"IR_DRG_V";0;NA;36;"Tiers Payant Intégral (RO+OC)";"AVEC TIERS PAYANT"
"IR_DRG_V";0;NA;37;"SUBROGATION MULTIPLE";"AVEC TIERS PAYANT"
"IR_DRG_V";1;NA;99;"VALEUR INCONNUE";"INCONNU"
