"nom_table";"TEC_COL";"CPT_COP_NUM";"TRS_PRS_IDE";"TRS_IDE_LIB"
"IR_DTR_V";0;NA;11;"FORFAIT DEPARTEMENTAL OU MINIMUM DE PERCEPTION, MAJORE OU NON"
"IR_DTR_V";0;NA;12;"FORFAIT AGGLOMERATION, MAJORE OU NON"
"IR_DTR_V";0;NA;13;"FORFAIT REGION PARISIENNE, MAJORE OU NON"
"IR_DTR_V";0;NA;14;"MAJORATION FORFAIT DEPARTEMENTAL OU MINIMUM DE PERCEPTION, MAJORE NUIT (75% DU TARIF AMBULANCE, 50% DU TARIF VSL)"
"IR_DTR_V";0;NA;15;"MAJORATION FORFAIT AGGLOMERATION, MAJORE NUIT (75% AMBULANCE, 50% VSL)"
"IR_DTR_V";0;NA;16;"MAJORATION FORFAIT REGION PARISIENNE, MAJORE NUIT (75% AMBULANCE, 50% VSL)"
"IR_DTR_V";0;NA;17;"MAJORATION FORFAIT DEPARTEMENTAL OU MINIMUM DE PERCEPTION, MAJORE DIMANCHE OU FERIE (50% AMBULANCE, 25% VSL)"
"IR_DTR_V";0;NA;18;"MAJORATION FORFAIT AGGLOMERATION, MAJORE DIMANCHE OU FERIE (50% AMBULANCE, 25% VSL)"
"IR_DTR_V";0;NA;19;"MAJORATION FORFAIT REGION PARISIENNE, DIMANCHE OU FERIE (50% AMBULANCE, 25% VSL)"
"IR_DTR_V";0;NA;21;"KILOMETRES A TARIF NORMAL (<= 150KM) MAJORES OU NON"
"IR_DTR_V";0;NA;22;"KILOMETRES A TARIF REDUIT (> 150KM) MAJORES OU NON"
"IR_DTR_V";0;NA;23;"MAJORATION KILOMETRES A TARIF NORMAL (<= 150KM) MAJORES NUIT (75% DU TARIF KM NORMAL POUR AMBULANCE, 50% VSL)"
"IR_DTR_V";0;NA;24;"MAJORATION KILOMETRES A TARIF REDUIT (> 150KM) MAJORES NUIT (50% DU TARIF KM REDUIT POUR VSL)"
"IR_DTR_V";0;NA;25;"MAJORATION KILOMETRES A TARIF NORMAL (<= 150KM) MAJORES DIMANCHE OU FERIE (50% DU TARIF KM NORMAL POUR AMBULANCE, 25% VSL)"
"IR_DTR_V";0;NA;26;"MAJORATION KILOMETRES A TARIF REDUIT (> 150KM) MAJORES DIMANCHE OU FERIE (50% DU TARIF KM REDUIT POUR AMBULANCE, 25% VSL)"
"IR_DTR_V";0;NA;41;"SUPPLEMENT GARE, PORT, AEROPORT"
"IR_DTR_V";0;NA;42;"SUPPLEMENT ENFANT PREMATURE"
"IR_DTR_V";0;NA;43;"SUPPLEMENT APPEL D URGENCE"
"IR_DTR_V";0;NA;44;"SUPPLEMENT ILES/CONTINENT"
"IR_DTR_V";0;NA;45;"SUPPLEMENT POUR HEURES D ATTENTE OU DE COURSE LENTE"
"IR_DTR_V";0;NA;46;"AUTRE SUPPLEMENT REMBOURSABLE TAXI"
"IR_DTR_V";0;NA;47;"MAJORATION POUR ABA-TRAJET < OU = A 5KM PARCOURUS"
"IR_DTR_V";0;NA;48;"MAJORATION POUR ABA-TRAJET < OU = A 5KM PARCOURUS, MAJORE NUIT"
"IR_DTR_V";0;NA;49;"MAJORATION POUR ABA-TRAJET < OU = A 5KM PARCOURUS, MAJORE FERIE"
"IR_DTR_V";0;NA;51;"PEAGE OU VOIE D EAU"
"IR_DTR_V";0;NA;52;"MAJORATION POUR ABA-TRAJET>A 5KM et <OU=10KM PARCOURUS"
"IR_DTR_V";0;NA;53;"MAJORATION POUR ABA-TRAJET>A 5KM et <OU=10KM PARCOURUS, MAJORE NUIT"
"IR_DTR_V";0;NA;54;"MAJORATION POUR ABA-TRAJET>A 5KM et <OU=10KM PARCOURUS, MAJORE FERIE"
"IR_DTR_V";0;NA;55;"MAJORATION POUR ABA-TRAJET>A 10KM et <OU=15KM PARCOURUS"
"IR_DTR_V";0;NA;56;"MAJORATION POUR ABA-TRAJET>A 10KM et <OU=15KM PARCOURUS, MAJORE NUIT"
"IR_DTR_V";0;NA;57;"MAJORATION POUR ABA-TRAJET>A 10KM et <OU=15KM PARCOURUS, MAJORE FERIE"
"IR_DTR_V";0;NA;58;"MAJORATION POUR ABA-TRAJET>A 15KM et <OU=19KM PARCOURUS"
"IR_DTR_V";0;NA;59;"MAJORATION POUR ABA-TRAJET>A 15KM et <OU=19KM PARCOURUS, MAJORE NUIT"
"IR_DTR_V";0;NA;60;"MAJORATION POUR ABA-TRAJET>A 15KM et <OU=19KM PARCOURUS, MAJORE FERIE"
