"nom_table";"TEC_COL";"CPT_COP_NUM";"CPT_ENV_TYP";"ENV_TYP_LIB";"ENV_TYP_RGP";"ENV_RGP_LIB"
"IR_ENV_V";0;NA;0;"PRESTATIONS NON PRISE EN CHARGE PAR LE RG";0;"SANS OBJET"
"IR_ENV_V";0;NA;1;"SOINS DE VILLE";1;"PRESTATIONS LEGALES ASSURANCE MALADIE"
"IR_ENV_V";0;NA;2;"HOSPITALISATION ET MEDICO-SOCIALE ET CONSOMMATIONS INTERMEDIAIRES (MEDICAMENTS ET LPP)";1;"PRESTATIONS LEGALES ASSURANCE MALADIE"
"IR_ENV_V";0;NA;3;"PRESTATIONS LEGALES ASSURANCE MALADIE HORS ENV.ONDAM";1;"PRESTATIONS LEGALES ASSURANCE MALADIE"
"IR_ENV_V";0;NA;4;"PREVENTION";2;"AUTRES PRESTATIONS"
"IR_ENV_V";0;NA;5;"FNAS";2;"AUTRES PRESTATIONS"
"IR_ENV_V";0;NA;6;"IVG SUPPRIME";2;"AUTRES PRESTATIONS"
"IR_ENV_V";0;NA;7;"CMU COMPLEMENTAIRE, AME ou ACS";2;"AUTRES PRESTATIONS"
"IR_ENV_V";0;NA;8;"ALSACE MOSELLE";2;"AUTRES PRESTATIONS"
"IR_ENV_V";2;NA;98;"SANS OBJET";0;"SANS OBJET"
"IR_ENV_V";1;NA;9;"VALEUR INCONNUE";2;"AUTRES PRESTATIONS"
