"nom_table";"TEC_COL";"CPT_COP_NUM";"EXO_MTF_RGT";"EXO_MTF";"EXO_LIB";"TOP_CTE"
"IR_EXO_V";0;NA;0;0;"SANS OBJET";0
"IR_EXO_V";0;NA;1;10;"ASSURANCE";0
"IR_EXO_V";0;NA;2;20;"REGIMES";1
"IR_EXO_V";0;NA;2;21;"PENSION MILITAIRE D'INVALIDITE (ART. 115)";1
"IR_EXO_V";0;NA;3;30;"NATURE DE PRESTATION";0
"IR_EXO_V";0;NA;4;41;"BENEFICIAIRE ATTEINT D UNE MALADIE LISTE - AFFECTION SANS RAPPORT";1
"IR_EXO_V";0;NA;4;42;"BENEFICIAIRE ATTEINT D UNE MALADIE LISTE - AFFECTION EN  RAPPORT";1
"IR_EXO_V";0;NA;4;43;"PATHOLOGIE HORS LISTE - AFFECTION SANS RAPPORT";1
"IR_EXO_V";0;NA;4;44;"PATHOLOGIE HORS LISTE - AFFECTION EN RAPPORT";1
"IR_EXO_V";0;NA;4;45;"POLYPATHOLOGIE HORS LISTE - AFFECTION SANS RAPPORT";1
"IR_EXO_V";0;NA;4;46;"POLYPATHOLOGIE HORS LISTE - AFFECTION EN RAPPORT";1
"IR_EXO_V";0;NA;4;47;"ARTICLE L324 NON EXONERANT (SAUF TRANSPORTS)";1
"IR_EXO_V";0;NA;5;51;"COEFFICIENT ET ACTE EN RAPPORT";0
"IR_EXO_V";0;NA;5;54;"DIAGNOSTIC ET TRAITEMENT DE LA STERILITE";0
"IR_EXO_V";0;NA;5;55;"6EME MOIS DE GROSSESSE";0
"IR_EXO_V";0;NA;5;56;"EDUCATION SPECIALISEE SANS RAPPORT";1
"IR_EXO_V";0;NA;5;57;"EDUCATION SPECIALISEE EN RAPPORT";1
"IR_EXO_V";0;NA;6;62;"AUTRE CAS D EXONERATION";0
"IR_EXO_V";0;NA;6;63;"HOSPIT PLUS 30 JOURS";0
"IR_EXO_V";0;NA;8;81;"PREVENTION";0
"IR_EXO_V";0;NA;8;82;"PREVENTION SOINS DE SUITE BUCCO-DENTAIRE";1
"IR_EXO_V";0;NA;5;91;"ACTES CCAM/NGAP EXONERANTS";0
"IR_EXO_V";0;NA;5;92;"SOINS EN RAPPORT AVEC UN ACTE CCAM EXONERANT";0
"IR_EXO_V";1;NA;9;99;"VALEUR INCONNUE";0
