GHS_GRP_TYP;GHS_NUM;GHS_NUM_SEC;GHS_LIB;GHS_CRE_DTE;GHS_FER_DTE;GHS_NAT_ASS;GHS_AGE_MIN;GHS_AGE_MAX;GHS_SEX;GHS_CMD;GHS_ARR_DTE;GHS_PJO_DTE;GHS_MAJ_DTE;GHS_DDP_MCO;GHS_EO1_DTE;GHS_DUR_SJ1;GHS_SEU_HT1;GHS_SEU_BA1;GHS_PRU_OC1;GHS_EXH_OC1;GHS_PRU_EX1;GHS_COE_OC1;GHS_COF_OC1;GHS_F01_OC1;GHS_F02_OC1;GHS_F03_OC1;GHS_F04_OC1;GHS_F05_OC1;GHS_F06_OC1;GHS_F07_OC1;GHS_F08_OC1;GHS_F09_OC1;GHS_F10_OC1;GHS_MAJ_OC1;GHS_EO2_DTE;GHS_DUR_SJ2;GHS_SEU_HT2;GHS_SEU_BA2;GHS_PRU_OC2;GHS_EXH_OC2;GHS_PRU_EX2;GHS_COE_OC2;GHS_COF_OC2;GHS_F01_OC2;GHS_F02_OC2;GHS_F03_OC2;GHS_F04_OC2;GHS_F05_OC2;GHS_F06_OC2;GHS_F07_OC2;GHS_F08_OC2;GHS_F09_OC2;GHS_F10_OC2;GHS_MAJ_OC2;GHS_EO3_DTE;GHS_DUR_SJ3;GHS_SEU_HT3;GHS_SEU_BA3;GHS_PRU_OC3;GHS_EXH_OC3;GHS_PRU_EX3;GHS_COE_OC3;GHS_COF_OC3;GHS_F01_OC3;GHS_F02_OC3;GHS_F03_OC3;GHS_F04_OC3;GHS_F05_OC3;GHS_F06_OC3;GHS_F07_OC3;GHS_F08_OC3;GHS_F09_OC3;GHS_F10_OC3;GHS_MAJ_OC3;TEC_COL
T;9999;9;VALEUR INCONNUE;;;;;;;99;;;;Z;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;1
T;0;9;SANS OBJET;;;;;;;99;;;;Z;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;;;;;;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;;2
T;4;1;GHT4;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;10516.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;10443.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;10370.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;4;2;GHT4;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;10446.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;10036.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;10015.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;5;1;GHT5;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;12171.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;12086.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;12002.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;5;2;GHT5;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;12092.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;11618.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;11594.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;6;1;GHT6;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;13815.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;13719.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;13624.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;6;2;GHT6;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;13735.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;13196.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;13169.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;7;1;GHT7;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;15469.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;15361.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;15254.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
T;7;2;GHT7;01MAR2005:00:00:00;01MAR2005:00:00:00;ASATMA;;;;;28FEB2018:00:00:00;01MAR2018:00:00:00;01MAR2018:00:00:00;D;01MAR2018:00:00:00;;;;15380.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2018:00:00:00;01MAR2017:00:00:00;;;;14777.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2017:00:00:00;01MAR2016:00:00:00;;;;14747.00;;;;;Z;Z;Z;Z;Z;Z;Z;Z;Z;Z;01MAR2016:00:00:00;0
