"nom_table";"TEC_COL";"CPT_COP_NUM";"MDT_COD";"MDT_LIB";"MDT_HOS_COD";"MDT_HOS_LIB";"MDT_TYP_COD";"MDT_TYP_LIB"
"IR_MDT_V";2;NA;0;"SANS OBJET";0;"SANS OBJET";9;"SANS OBJET"
"IR_MDT_V";0;NA;3;"HOSPITALISATION COMPLETE (NON COMPRISE L HOSPITALISATION DE LA SEMAINE)";2;"AVEC HOSPITALISATION";1;"SEJOURNE"
"IR_MDT_V";0;NA;4;"HOSPITALISATION DE JOUR";2;"AVEC HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;5;"HOSPITALISATION DE NUIT";2;"AVEC HOSPITALISATION";1;"SEJOURNE"
"IR_MDT_V";0;NA;6;"HOSPITALISATION A DOMICILE";2;"AVEC HOSPITALISATION";3;"DOMICILE"
"IR_MDT_V";0;NA;7;"CONSULTATIONS ET SOINS EXTERNES";1;"SANS HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;10;"URGENCE";1;"SANS HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;11;"HEBERGEMENT COMPLET OU INTERNAT (NON COMPRIS L INTERNAT DE SEMAINE)";2;"AVEC HOSPITALISATION";1;"SEJOURNE"
"IR_MDT_V";0;NA;12;"HEBERGEMENT DE NUIT";2;"AVEC HOSPITALISATION";1;"SEJOURNE"
"IR_MDT_V";0;NA;13;"SEMI-INTERNAT";2;"AVEC HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;14;"EXTERNAT";1;"SANS HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;15;"PLACEMENT EN FAMILLE D ACCUEIL";2;"AVEC HOSPITALISATION";3;"DOMICILE"
"IR_MDT_V";0;NA;16;"PRESTATIONS A DOMICILE OU EN MILIEU OUVERT";1;"SANS HOSPITALISATION";3;"DOMICILE"
"IR_MDT_V";0;NA;17;"INTERNAT DE SEMAINE";2;"AVEC HOSPITALISATION";1;"SEJOURNE"
"IR_MDT_V";0;NA;19;"TRAITEMENTS ET CURES AMBULATOIRES";1;"SANS HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;20;"HOSPITALISATION DE SEMAINE";2;"AVEC HOSPITALISATION";1;"SEJOURNE"
"IR_MDT_V";0;NA;21;"ACCUEIL DE JOUR (DOMAINE SANITAIRE ET SOCIAL)";1;"SANS HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;22;"HOSPITALISATION A TEMPS PARTIEL";2;"AVEC HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;23;"CHIRURGIE AMBULATOIRE";1;"SANS HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;24;"ACCUEIL ET PRISE EN CHARGE EN SERVICE D ACCUEIL FAMILIAL THERAPEUTIQUE";2;"AVEC HOSPITALISATION";3;"DOMICILE"
"IR_MDT_V";0;NA;35;"TRAITEMENT CURES THERMALES";1;"SANS HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;37;"ACCUEIL ET PRISE EN CHARGE EN APPARTEMENT THERAPEUTIQUE PSYCHIATRIQUE";2;"AVEC HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;38;"ACCUEIL ET PRISE EN CHARGE EN CENTRE DE POST CURE PSYCHIATRIQUE";2;"AVEC HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";0;NA;39;"ACCUEIL ET PRISE EN CHARGE EN CENTRE DE CRISE PSYCHIATRIQUE";2;"AVEC HOSPITALISATION";2;"EXTERNE"
"IR_MDT_V";1;NA;99;"VALEUR INCONNUE";9;"VALEUR INCONNUE";9;"SANS OBJET"
