"nom_table";"TEC_COL";"TDM_NAT_AFF";"CCA_CPL_COD";"CPT_COP_NUM";"PRS_NAT";"PRS_NAT_CB2";"PRS_NAT_LIB";"PRS_NAT_TDM";"PRS_NAT_STA";"NAT_SOI_TOP";"NAT_CPL_ACT";"PRN_AID_TOP";"PRS_SPP_TOP";"TOP_SNI";"TYA_COD";"CEL_TYP";"TOP_PRS_SOI";"PRS_NAT_RGT";"TOP_TRF_OPP"
"IR_NAT_V";0;9;NA;NA;1187;"CCI";"CONTRAT COLLECTIF   AIDE INVESTISSEMENT";99;99;1;0;0;NA;0;"Z";"20";0;47;NA
"IR_NAT_V";0;9;NA;NA;1188;"CCA";"CONTRAT COLLECTIF   ATTEINTE DES OBJECTIFS";99;99;1;0;0;NA;0;"Z";"20";0;47;NA
"IR_NAT_V";0;9;NA;NA;1189;"COF";"CONTRAT DE FORMATION";99;99;1;0;0;NA;1;"Z";"20";0;47;NA
"IR_NAT_V";0;9;NA;NA;1190;"TSP";"TELESURVEILLANCE : PRIME VARIABLE";99;99;1;0;0;NA;1;"Z";"21";0;47;NA
"IR_NAT_V";0;9;NA;NA;1191;"TC";"TELECONSULTATION TOUTES SPECIALITES";99;99;1;0;1;1;1;"C";"20";0;1;NA
"IR_NAT_V";0;9;NA;NA;1192;"TCG";"TELECONSULTATION GENERALISTE";99;99;1;0;1;1;1;"C";"20";0;1;NA
"IR_NAT_V";0;9;NA;NA;1209;"VGS";"VISITE SPECIALISTE MEDECINE GENERALE";99;99;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;9;NA;NA;1210;"VG";"VISITE MEDECINE GENERALE";99;99;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1211;"V";"VISITE COTEE V";1;1;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1212;"VS";"VISITE COTEE VS";1;1;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1213;"VNP";"VISITE COTEE VNP";1;1;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1214;"VL";"VISITE LONGUE ET COMPLEXE";1;1;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;9;NA;NA;1215;"APV";"AVIS PONCTUEL DE CONSULTANT MEDECIN (VISITE)";99;99;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;9;NA;NA;1216;"AVY";"AVIS PONCTUEL DE CONSULTANT PSYCHIATRE (VISITE)";99;99;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1221;"VA";"VISITE D  URGENCE";1;1;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1222;"VU";"VISITE URGENCE VU/MU";1;1;1;0;1;NA;1;"C";"20";0;1;1
"IR_NAT_V";0;0;4;NA;1223;"MMD";"MAJORATION MAINTIEN A DOMICILE";1;1;1;1;0;NA;1;"Z";"";0;1;NA
"IR_NAT_V";0;0;4;NA;1224;"MD";"MD (CRITERES MEDICAUX)";1;1;1;1;0;1;1;"Z";"20";0;1;1
"IR_NAT_V";0;0;4;NA;1225;"MDE";"MDE ( CRITERES ENVIRONNEMENTAUX)";1;1;1;1;0;NA;1;"Z";"20";0;1;1
"IR_NAT_V";0;0;1;NA;1226;"MDN";"MD DE NUIT";1;1;1;1;0;1;1;"Z";"20";0;1;1
"IR_NAT_V";0;0;1;NA;1227;"MDI";"MD  DE MILIEU NUIT";1;1;1;1;0;1;1;"Z";"20";0;1;1
"IR_NAT_V";0;0;2;NA;1228;"MDD";"MD  DE DIMANCHE ET JOUR FERIES";1;1;1;1;0;1;1;"Z";"20";0;1;1
"IR_NAT_V";0;0;1;NA;1229;"MEN";"MDE  DE NUIT";1;1;1;1;0;NA;1;"Z";"";0;1;NA
"IR_NAT_V";0;0;1;NA;1231;"MEI";"MDE MILIEU DE NUIT";1;1;1;1;0;NA;1;"Z";"";0;1;NA
"IR_NAT_V";0;0;2;NA;1232;"MED";"MDE DIMANCHE ET JOUR FERIES";1;1;1;1;0;NA;1;"Z";"";0;1;NA
"IR_NAT_V";0;0;NA;NA;1311;"KC";"ACTES EN K CHIRURGICAL";1;1;1;0;1;1;1;"T";"20";0;37;1
"IR_NAT_V";0;1;NA;NA;1312;"K";"ACTES DE SPECIALITE EN K";NA;1;1;0;1;1;1;"T";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1313;"KA";"ACTES EN K D  URGENCE";1;1;1;0;1;NA;1;"T";"20";0;1;1
"IR_NAT_V";0;0;8;NA;1314;"KFA";"FORFAIT CHIRURGIE 1";1;1;1;1;0;NA;1;"Z";"20";0;1;NA
"IR_NAT_V";0;0;8;NA;1315;"KFB";"FORFAIT CHIRURGIE 2";1;1;1;1;0;NA;1;"Z";"20";0;1;NA
"IR_NAT_V";0;1;NA;NA;1316;"KE";"ACTES DE DIAGNOSTIC COTES KE";NA;1;1;0;1;1;1;"T";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1317;"KCC";"ACTES EN KCC: ACTES SPECIFIQUES DES CHIRURGIENS";1;1;1;0;0;NA;1;"T";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1318;"KMO";"ACTE DE PHONIATRIE PAR MEDECIN";1;1;1;0;1;NA;1;"T";"20";0;1;1
"IR_NAT_V";0;0;7;NA;1319;"KFC";"MAJORATION FORFAIT ACCOUCHEMENT";1;1;1;1;0;NA;1;"Z";"20";0;1;NA
"IR_NAT_V";0;0;15;NA;1320;"KFD";"FORFAIT RADIOGRAPHIE,ECHOGRAPHIE";1;1;1;1;0;NA;1;"T";"20";0;1;NA
"IR_NAT_V";0;9;NA;NA;1321;"ADC";"ACTE DE CHIRURGIE CCAM";99;99;1;0;1;1;1;"T";"20";1;44;1
"IR_NAT_V";0;1;NA;NA;1322;"ACO";"ACTE D'OBSTETRIQUE CCAM";NA;1;1;0;1;1;1;"T";"20";0;25;1
"IR_NAT_V";0;1;NA;NA;1323;"ADA";"ACTE D'ANESTHESIE CCAM";NA;1;1;0;1;1;1;"T";"20";0;25;1
"IR_NAT_V";0;1;NA;NA;1324;"ADE";"ACTE D'ECHOGRAPHIE CCAM";NA;1;1;0;1;1;1;"T";"20";0;25;1
"IR_NAT_V";0;1;NA;NA;1331;"Z";"ACTES DE RADIOLOGIE";NA;1;1;0;1;1;1;"T";"20";0;1;1
"IR_NAT_V";0;0;NA;NA;1332;"ZN";"ACTES DE RADIOLOGIE NUCLEAIRE";1;1;1;0;0;NA;1;"T";"20";0;1;NA
"IR_NAT_V";0;0;9;NA;1333;"PRA";"MAJORATION POUR PRODUIT RADIOPHARMACEUTIQUE";1;1;1;1;0;NA;1;"T";"20";0;1;NA
"IR_NAT_V";0;0;NA;NA;1334;"DCS";" DEPISTAGE CANCER DU SEIN";1;1;1;0;0;NA;1;"Z";"";0;1;NA
"IR_NAT_V";0;0;NA;NA;1335;"ZM/ADI";"ACTE DE RADIOLOGIE MAMMOGRAPHIE";1;1;1;0;1;NA;1;"T";"";0;1;1
"IR_NAT_V";0;0;NA;NA;1336;"ZM DEPISTAGE/ADI";"ACTE DE RADIOLOGIE MAMMOGRAPHIE DEPISTAGE";1;1;1;0;1;NA;1;"T";"";0;1;1
"IR_NAT_V";0;0;NA;NA;1341;"P";"ACTES D  ANATOMO-CYTO-PATHOLOGIE/MEDECINS";1;1;1;0;1;NA;1;"T";"20";0;1;1
"IR_NAT_V";0;0;19;NA;1342;"MAP";"MAJORATION ANATOMO-CYTO-PATHOLOGIE";1;1;1;1;0;NA;1;"Z";"20";0;1;1
"IR_NAT_V";0;0;14;NA;1345;"MTC";"MAJORATION TRANSITOIRE";1;1;1;1;0;NA;1;"Z";"20";0;1;NA
