"nom_table";"TEC_COL";"CPT_COP_NUM";"CPT_DEP_PER";"CPT_DEP_LIB";"CPT_DEP_EXC"
"IR_PCT_V";0;NA;62005;"Juin";2005
"IR_PCT_V";0;NA;72005;"Juillet";2005
"IR_PCT_V";0;NA;82005;"Aout";2005
"IR_PCT_V";0;NA;92005;"Septembre";2005
"IR_PCT_V";0;NA;102005;"Octobre";2005
"IR_PCT_V";0;NA;112005;"Novembre";2005
"IR_PCT_V";0;NA;122005;"Decembre";2005
"IR_PCT_V";0;NA;132005;"Periode complémentaire 2005";2005
"IR_PCT_V";0;NA;2006;"Janvier (7 premiers quantiemes 2006)";2006
"IR_PCT_V";0;NA;12006;"Janvier (hors 7 premiers quantiemes 2006)";2006
"IR_PCT_V";0;NA;22006;"Fevrier";2006
"IR_PCT_V";0;NA;32006;"Mars";2006
"IR_PCT_V";0;NA;42006;"Avril";2006
"IR_PCT_V";0;NA;52006;"Mai";2006
"IR_PCT_V";0;NA;62006;"Juin";2006
"IR_PCT_V";0;NA;72006;"Juillet";2006
"IR_PCT_V";0;NA;82006;"Aout";2006
"IR_PCT_V";0;NA;92006;"Septembre";2006
"IR_PCT_V";0;NA;102006;"Octobre";2006
"IR_PCT_V";0;NA;112006;"Novembre";2006
"IR_PCT_V";0;NA;122006;"Decembre";2006
"IR_PCT_V";0;NA;132006;"Periode complémentaire 2006";2006
"IR_PCT_V";0;NA;2007;"Janvier (7 premiers quantiemes 2007)";2007
"IR_PCT_V";0;NA;12007;"Janvier (hors 7 premiers quantiemes 2007)";2007
"IR_PCT_V";0;NA;22007;"Fevrier";2007
"IR_PCT_V";0;NA;32007;"Mars";2007
"IR_PCT_V";0;NA;42007;"Avril";2007
"IR_PCT_V";0;NA;52007;"Mai";2007
"IR_PCT_V";0;NA;62007;"Juin";2007
"IR_PCT_V";0;NA;72007;"Juillet";2007
"IR_PCT_V";0;NA;82007;"Aout";2007
"IR_PCT_V";0;NA;92007;"Septembre";2007
"IR_PCT_V";0;NA;102007;"Octobre";2007
"IR_PCT_V";0;NA;112007;"Novembre";2007
"IR_PCT_V";0;NA;122007;"Decembre";2007
"IR_PCT_V";0;NA;132007;"Periode complémentaire 2007";2007
"IR_PCT_V";0;NA;2008;"Janvier (7 premiers quantiemes 2008)";2008
"IR_PCT_V";0;NA;12008;"Janvier (hors 7 premiers quantiemes 2008)";2008
"IR_PCT_V";0;NA;22008;"Fevrier";2008
"IR_PCT_V";0;NA;32008;"Mars";2008
"IR_PCT_V";0;NA;42008;"Avril";2008
"IR_PCT_V";0;NA;52008;"Mai";2008
"IR_PCT_V";0;NA;62008;"Juin";2008
"IR_PCT_V";0;NA;72008;"Juillet";2008
"IR_PCT_V";0;NA;82008;"Aout";2008
"IR_PCT_V";0;NA;92008;"Septembre";2008
"IR_PCT_V";0;NA;102008;"Octobre";2008
"IR_PCT_V";0;NA;112008;"Novembre";2008
"IR_PCT_V";0;NA;122008;"Decembre";2008
"IR_PCT_V";0;NA;132008;"Periode complémentaire 2008";2008
"IR_PCT_V";0;NA;2009;"Janvier (7 premiers quantiemes 2009)";2009
"IR_PCT_V";0;NA;12009;"Janvier (hors 7 premiers quantiemes 2009)";2009
"IR_PCT_V";0;NA;22009;"Fevrier";2009
"IR_PCT_V";0;NA;32009;"Mars";2009
"IR_PCT_V";0;NA;42009;"Avril";2009
"IR_PCT_V";0;NA;52009;"Mai";2009
"IR_PCT_V";0;NA;62009;"Juin";2009
"IR_PCT_V";0;NA;72009;"Juillet";2009
"IR_PCT_V";0;NA;82009;"Aout";2009
"IR_PCT_V";0;NA;92009;"Septembre";2009
"IR_PCT_V";0;NA;102009;"Octobre";2009
"IR_PCT_V";0;NA;112009;"Novembre";2009
"IR_PCT_V";0;NA;122009;"Décembre";2009
"IR_PCT_V";0;NA;132009;"Période complémentaire";2009
"IR_PCT_V";0;NA;132000;"Periode complementaire 2000";2000
"IR_PCT_V";0;NA;2001;"Janvier (7 premiers quantiemes 2001)";2001
"IR_PCT_V";0;NA;12001;"Janvier (hors 7 premiers quantiemes 2001)";2001
"IR_PCT_V";0;NA;22001;"Fevrier";2001
"IR_PCT_V";0;NA;32001;"Mars";2001
"IR_PCT_V";0;NA;42001;"Avril";2001
"IR_PCT_V";0;NA;52001;"Mai";2001
"IR_PCT_V";0;NA;62001;"Juin";2001
"IR_PCT_V";0;NA;72001;"Juillet";2001
"IR_PCT_V";0;NA;82001;"Aout";2001
"IR_PCT_V";0;NA;92001;"Septembre";2001
"IR_PCT_V";0;NA;102001;"Octobre";2001
"IR_PCT_V";0;NA;112001;"Novembre";2001
"IR_PCT_V";0;NA;122001;"Decembre";2001
"IR_PCT_V";0;NA;132001;"Periode complémentaire 2001";2001
"IR_PCT_V";0;NA;2002;"Janvier (7 premiers quantiemes 2002)";2002
"IR_PCT_V";0;NA;12002;"Janvier (hors 7 premiers quantiemes 2002)";2002
"IR_PCT_V";0;NA;22002;"Fevrier";2002
"IR_PCT_V";0;NA;32002;"Mars";2002
"IR_PCT_V";0;NA;42002;"Avril";2002
"IR_PCT_V";0;NA;52002;"Mai";2002
"IR_PCT_V";0;NA;62002;"Juin";2002
"IR_PCT_V";0;NA;72002;"Juillet";2002
"IR_PCT_V";0;NA;82002;"Aout";2002
"IR_PCT_V";0;NA;92002;"Septembre";2002
"IR_PCT_V";0;NA;102002;"Octobre";2002
"IR_PCT_V";0;NA;112002;"Novembre";2002
"IR_PCT_V";0;NA;122002;"Decembre";2002
"IR_PCT_V";0;NA;132002;"Periode complémentaire 2002";2002
"IR_PCT_V";0;NA;2003;"Janvier (7 premiers quantiemes 2003)";2003
"IR_PCT_V";0;NA;12003;"Janvier (hors 7 premiers quantiemes 2003)";2003
"IR_PCT_V";0;NA;22003;"Fevrier";2003
"IR_PCT_V";0;NA;32003;"Mars";2003
"IR_PCT_V";0;NA;42003;"Avril";2003
"IR_PCT_V";0;NA;52003;"Mai";2003
"IR_PCT_V";0;NA;62003;"Juin";2003
"IR_PCT_V";0;NA;72003;"Juillet";2003
"IR_PCT_V";0;NA;82003;"Aout";2003
"IR_PCT_V";0;NA;92003;"Septembre";2003
"IR_PCT_V";0;NA;102003;"Octobre";2003
"IR_PCT_V";0;NA;112003;"Novembre";2003
"IR_PCT_V";0;NA;122003;"Decembre";2003
"IR_PCT_V";0;NA;132003;"Periode complémentaire 2003";2003
"IR_PCT_V";0;NA;2004;"Janvier (7 premiers quantiemes 2004)";2004
"IR_PCT_V";0;NA;12004;"Janvier (hors 7 premiers quantiemes 2004)";2004
"IR_PCT_V";0;NA;22004;"Fevrier";2004
"IR_PCT_V";0;NA;32004;"Mars";2004
"IR_PCT_V";0;NA;42004;"Avril";2004
"IR_PCT_V";0;NA;52004;"Mai";2004
"IR_PCT_V";0;NA;62004;"Juin";2004
"IR_PCT_V";0;NA;72004;"Juillet";2004
"IR_PCT_V";0;NA;82004;"Aout";2004
"IR_PCT_V";0;NA;92004;"Septembre";2004
"IR_PCT_V";0;NA;102004;"Octobre";2004
"IR_PCT_V";0;NA;112004;"Novembre";2004
"IR_PCT_V";0;NA;122004;"Decembre";2004
"IR_PCT_V";0;NA;132004;"Periode complémentaire 2004";2004
