"nom_table";"TEC_COL";"CPT_COP_NUM";"QPE_QPE_COD";"QPE_MOD_COD";"QPE_COD_LIB";"QPE_NPS_COD"
"IR_QPE_V";0;NA;0;"";"AUCUNE CASE COCHEE";"P"
"IR_QPE_V";0;NA;1;"T";"MEDECIN TRAITANT";"P"
"IR_QPE_V";0;NA;2;"N";"NOUVEAU MEDECIN TRAITANT";"P"
"IR_QPE_V";0;NA;3;"O";"PATIENT ORIENTE PAR UN MT";"P"
"IR_QPE_V";0;NA;4;"D";"ACCES DIRECT SPECIFIQUE";"P"
"IR_QPE_V";0;NA;5;"U";"URGENCE AVEC MT";"P"
"IR_QPE_V";0;NA;6;"H";"HORS RESIDENCE HABITUELLE";"P"
"IR_QPE_V";0;NA;7;"R";"MT REMPLACE";"P"
"IR_QPE_V";0;NA;10;"B";"EXCLUSION DES ACTES PRESCRITS PAR UN MEDECIN GENERALISTE EN ZONE DEFICITAIRE";"P"
"IR_QPE_V";0;NA;24;"S";"HORS COORDINATION DES SOINS SANS MT";"H"
"IR_QPE_V";1;NA;99;"9";"VALEUR INCONNUE";"Z"
"IR_QPE_V";0;NA;8;"A";"EXCLUSION DES ACTES EN RAPPORT AVEC ART. D 162.1.6 DU CODE SS (ALCOOLOGIE, TABACOLOGIE, TOXICOMANIE)";"P"
"IR_QPE_V";0;NA;12;"J";"GENERALISTE PRIMO INSTALLE DEPUIS MOINS DE 5 ANS";"P"
