"nom_table";"TEC_COL";"CPT_COP_NUM";"SAF_GRG_COD";"DCT_ENT_SUP";"DCT_ENT_CB2";"DCT_ENT_LIB";"DCT_GRG_LIB"
"IR_SAF_V";0;NA;1;21;"CP";"CLINIQUES PRIVEES ET HOPITAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;1;22;"CS";"CENTRES DE SANTE";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;1;23;"CT";"ETABLISSEMENT THERMAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;2;66;"";"PAIEMENTS DE REGULARISATION CONFIDENTIELS";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;67;"";"PAIEMENTS DE REGULARISATION NON INDIVIDUALISES";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;68;"";"PAIEMENT DES FORFAITS MEDECIN REFERENT";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;69;"";"Tarification à l'activité";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;70;"";"Saisie des honoraires hors hospitalisation";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;71;"";"Saisie des factures pharmacie";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;72;"";"Saisie des factures de fournisseurs";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;73;"";"Recyclage des factures PO + CPL";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;74;"";"Recyclage des factures CPL seule";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;75;"";"Paiement manuel dérogatoire";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;76;"";"Paiement manuel dérogatoire (Secret médical)";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;77;"";"Paiement manuel dérogatoire (Prestations non individualisées)";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;78;"";"Paiement manuel prévention";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;79;"";"Paiement manuel prévention (Prestations non individualisées)";"SAISIE INTERNE : MUTUALITE SOCIALE AGRICOLE - CMRA DE LA MANCHE"
"IR_SAF_V";0;NA;2;80;"";"RECOURS CONTRE TIERS";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;2;81;"";"LAD TRANSPORT";"SAISIE INTERNE : MSA"
"IR_SAF_V";0;NA;2;82;"";"LAD CENTRES DE SOINS";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;3;11;"";"DEPRESTA";"SAISIE INTERNE AMPI"
"IR_SAF_V";0;NA;3;12;"";"IVG";"SAISIE INTERNE AMPI"
"IR_SAF_V";0;NA;3;13;"";"SAISIE MANUELLE APPLICATION COMPTABLE";"SAISIE INTERNE AMPI"
"IR_SAF_V";0;NA;3;21;"CP";"CLINIQUES PRIVEES ET HOPITAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;3;22;"CS";"CENTRES DE SANTE";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;3;23;"CT";"ETABLISSEMENT THERMAUX";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;3;25;"";"ETABLISSEMENTS EN BUDGET GLOBAL";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;3;26;"CP";"FACTURATION DIRECTE ETABLISSEMENTS PUBLICS";"SAISIE EXTERNE : ETABLISSEMENTS DE SOINS"
"IR_SAF_V";0;NA;3;31;"ER";"PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;32;"IF";"INFIRMIERS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;33;"MK";"MASSEURS-KINESITHERAPEUTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;34;"OO";"ORTHOPHONISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;35;"OY";"ORTHOPTISTES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;36;"PE";"PEDICURES-PODOLOGUES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;37;"LB";"LABORATOIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;41;"PH";"PHARMACIENS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;42;"TA";"TRANSPORTS SANITAIRES";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;43;"FR";"FOURNISSEURS";"SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX"
"IR_SAF_V";0;NA;3;65;"";"PAIEMENT DE REGULARISATION";"SAISIE INTERNE : SECURITE SOCIALE - INDEPENDANTS"
"IR_SAF_V";0;NA;3;78;"";"PAIEMENT MANUEL PREVENTION";"SAISIE INTERNE : SECURITE SOCIALE - INDEPENDANTS"
