"nom_table";"TEC_COL";"CPT_COP_NUM";"DCT_MVT_SYS";"DCT_MVT_LIB"
"IR_SAI_V";0;NA;0;"SAISIE INTERNE"
"IR_SAI_V";0;NA;1;"SAISIE EXTERNE B2"
"IR_SAI_V";0;NA;2;"SAISIE EXTERNE VITALE"
"IR_SAI_V";0;NA;3;"SAISIES MANUELLES ou SAISIE EXTERNE B2 NTEIR ( TOP Certification=P)"
"IR_SAI_V";0;NA;4;"SAISIE EXTERNE B2 NTEIR (TOP Certification=D)"
"IR_SAI_V";0;NA;5;"SAISIE EXTERNE VITALE NTEIR (TOP Certification=F)"
"IR_SAI_V";0;NA;6;"SAISIE EXTERNE B2 NTEIR (TOP Certification=N)"
"IR_SAI_V";0;NA;7;"SAISIE EXTERNE VITALE NTEIR (TOP Certification=C)"
"IR_SAI_V";0;NA;8;"SAISIE EXTERNE B2 NTEIR (TOP Certification=L)"
"IR_SAI_V";1;NA;9;"INCONNU"
