"nom_table";"TEC_COL";"CPT_COP_NUM";"PHA_SEQ_RNV";"PHA_SEQ_LIB"
"IR_SEQ_V";1;NA;0;"ABSENCE DE RENOUVELLEMENT"
"IR_SEQ_V";0;NA;1;"SEQUENCE N°1"
"IR_SEQ_V";0;NA;2;"SEQUENCE N°2"
"IR_SEQ_V";0;NA;3;"SEQUENCE N°3"
"IR_SEQ_V";0;NA;4;"SEQUENCE N°4"
"IR_SEQ_V";0;NA;5;"SEQUENCE N°5"
"IR_SEQ_V";0;NA;6;"SEQUENCE N°6"
"IR_SEQ_V";0;NA;7;"SEQUENCE N°7"
"IR_SEQ_V";0;NA;8;"SEQUENCE N°8"
"IR_SEQ_V";0;NA;9;"SEQUENCE N°9"
"IR_SEQ_V";0;NA;10;"SEQUENCE N°10"
"IR_SEQ_V";0;NA;11;"SEQUENCE N°11"
"IR_SEQ_V";0;NA;12;"SEQUENCE N°12"
"IR_SEQ_V";0;NA;13;"SEQUENCE N°13"
"IR_SEQ_V";0;NA;14;"SEQUENCE N°14"
"IR_SEQ_V";0;NA;15;"SEQUENCE N°15"
"IR_SEQ_V";0;NA;16;"SEQUENCE N°16"
"IR_SEQ_V";0;NA;17;"SEQUENCE N°17"
"IR_SEQ_V";0;NA;18;"SEQUENCE N°18"
"IR_SEQ_V";0;NA;19;"SEQUENCE N°19"
"IR_SEQ_V";0;NA;20;"SEQUENCE N°20"
"IR_SEQ_V";0;NA;21;"SEQUENCE N°21"
"IR_SEQ_V";0;NA;22;"SEQUENCE N°22"
"IR_SEQ_V";0;NA;23;"SEQUENCE N°23"
"IR_SEQ_V";0;NA;24;"SEQUENCE N°24"
"IR_SEQ_V";0;NA;25;"SEQUENCE N°25"
"IR_SEQ_V";0;NA;26;"SEQUENCE N°26"
"IR_SEQ_V";0;NA;27;"SEQUENCE N°27"
"IR_SEQ_V";0;NA;28;"SEQUENCE N°28"
"IR_SEQ_V";0;NA;29;"SEQUENCE N°29"
"IR_SEQ_V";0;NA;30;"SEQUENCE N°30"
"IR_SEQ_V";0;NA;31;"SEQUENCE N°31"
"IR_SEQ_V";0;NA;32;"SEQUENCE N°32"
"IR_SEQ_V";0;NA;33;"SEQUENCE N°33"
"IR_SEQ_V";0;NA;34;"SEQUENCE N°34"
"IR_SEQ_V";0;NA;35;"SEQUENCE N°35"
"IR_SEQ_V";0;NA;36;"SEQUENCE N°36"
"IR_SEQ_V";0;NA;37;"SEQUENCE N°37"
"IR_SEQ_V";0;NA;38;"SEQUENCE N°38"
"IR_SEQ_V";0;NA;39;"SEQUENCE N°39"
"IR_SEQ_V";0;NA;40;"SEQUENCE N°40"
"IR_SEQ_V";0;NA;41;"SEQUENCE N°41"
"IR_SEQ_V";0;NA;42;"SEQUENCE N°42"
"IR_SEQ_V";0;NA;43;"SEQUENCE N°43"
"IR_SEQ_V";0;NA;44;"SEQUENCE N°44"
"IR_SEQ_V";0;NA;45;"SEQUENCE N°45"
"IR_SEQ_V";0;NA;46;"SEQUENCE N°46"
"IR_SEQ_V";0;NA;47;"SEQUENCE N°47"
"IR_SEQ_V";0;NA;48;"SEQUENCE N°48"
"IR_SEQ_V";0;NA;49;"SEQUENCE N°49"
"IR_SEQ_V";0;NA;50;"SEQUENCE N°50"
"IR_SEQ_V";0;NA;51;"SEQUENCE N°51"
"IR_SEQ_V";0;NA;52;"SEQUENCE N°52"
"IR_SEQ_V";0;NA;53;"SEQUENCE N°53"
"IR_SEQ_V";0;NA;54;"SEQUENCE N°54"
"IR_SEQ_V";0;NA;55;"SEQUENCE N°55"
"IR_SEQ_V";0;NA;56;"SEQUENCE N°56"
"IR_SEQ_V";0;NA;57;"SEQUENCE N°57"
"IR_SEQ_V";0;NA;58;"SEQUENCE N°58"
"IR_SEQ_V";0;NA;59;"SEQUENCE N°59"
"IR_SEQ_V";0;NA;60;"SEQUENCE N°60"
"IR_SEQ_V";0;NA;61;"SEQUENCE N°61"
"IR_SEQ_V";0;NA;62;"SEQUENCE N°62"
"IR_SEQ_V";0;NA;63;"SEQUENCE N°63"
"IR_SEQ_V";0;NA;64;"SEQUENCE N°64"
"IR_SEQ_V";0;NA;65;"SEQUENCE N°65"
"IR_SEQ_V";0;NA;66;"SEQUENCE N°66"
"IR_SEQ_V";0;NA;67;"SEQUENCE N°67"
"IR_SEQ_V";0;NA;68;"SEQUENCE N°68"
"IR_SEQ_V";0;NA;69;"SEQUENCE N°69"
"IR_SEQ_V";0;NA;70;"SEQUENCE N°70"
"IR_SEQ_V";0;NA;71;"SEQUENCE N°71"
"IR_SEQ_V";0;NA;72;"SEQUENCE N°72"
"IR_SEQ_V";0;NA;73;"SEQUENCE N°73"
"IR_SEQ_V";0;NA;74;"SEQUENCE N°74"
"IR_SEQ_V";0;NA;75;"SEQUENCE N°75"
"IR_SEQ_V";0;NA;76;"SEQUENCE N°76"
"IR_SEQ_V";0;NA;77;"SEQUENCE N°77"
"IR_SEQ_V";0;NA;78;"SEQUENCE N°78"
"IR_SEQ_V";0;NA;79;"SEQUENCE N°79"
"IR_SEQ_V";0;NA;80;"SEQUENCE N°80"
"IR_SEQ_V";0;NA;81;"SEQUENCE N°81"
"IR_SEQ_V";0;NA;82;"SEQUENCE N°82"
"IR_SEQ_V";0;NA;83;"SEQUENCE N°83"
"IR_SEQ_V";0;NA;84;"SEQUENCE N°84"
"IR_SEQ_V";0;NA;85;"SEQUENCE N°85"
"IR_SEQ_V";0;NA;86;"SEQUENCE N°86"
"IR_SEQ_V";0;NA;87;"SEQUENCE N°87"
"IR_SEQ_V";0;NA;88;"SEQUENCE N°88"
"IR_SEQ_V";0;NA;89;"SEQUENCE N°89"
"IR_SEQ_V";0;NA;90;"SEQUENCE N°90"
"IR_SEQ_V";0;NA;91;"SEQUENCE N°91"
"IR_SEQ_V";0;NA;92;"SEQUENCE N°92"
"IR_SEQ_V";0;NA;93;"SEQUENCE N°93"
"IR_SEQ_V";0;NA;94;"SEQUENCE N°94"
"IR_SEQ_V";0;NA;95;"SEQUENCE N°95"
"IR_SEQ_V";0;NA;96;"SEQUENCE N°96"
"IR_SEQ_V";0;NA;97;"SEQUENCE N°97"
"IR_SEQ_V";0;NA;98;"SEQUENCE N°98"
"IR_SEQ_V";0;NA;99;"DELIVRANCE PAR PROCEDURE EXCEPTIONNELLE D UNE BOITE SUPPLEMENTAIRE"
