"nom_table";"TEC_COL";"CPT_COP_NUM";"ETB_STJ_COD";"ETB_PPU_SEC";"ETB_STJ_LIB";"ETB_ORG_TYP";"ETB_ORG_LIB"
"IR_SJE_V";0;NA;10;1;"ETABLISSEMENT D HOSPITALISATION NATIONAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;11;1;"ETABLISSEMENT D HOSPITALISATION DEPARTEMENTAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;12;1;"ETABLISSEMENT D HOSPITALISATION INTER-DEPARTEMENTAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;13;1;"ETABLISSEMENT D HOSPITALISATION COMMUNAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;14;1;"ETABLISSEMENT D HOSPITALISATION INTER-COMMUNAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;15;1;"ETABLISSEMENT D HOSPITALISATION REGIONAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;16;1;"SYNDICAT INTERHOSPITALIER";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;17;1;"CENTRE COMMUNAL OU INTERCOMMUNAL D ACTIONSOCIALE";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;18;1;"ETABLISSEMENTSOCIALET MEDICO-SOCIAL NATIONAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;19;1;"ETABLISSEMENTSOCIALET MEDICO-SOCIAL DEPARTEMENTAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;1;1;"ETAT";1;" ETAT ET COLLECTIVITES TERRITORIALES"
"IR_SJE_V";0;NA;20;1;"ETABLISSEMENTSOCIALET MEDICO-SOCIAL INTERDEPARTEMENTAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;21;1;"ETABLISSEMENTSOCIALET MEDICO-SOCIAL COMMUNAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;22;1;"ETABLISSEMENTSOCIALET MEDICO-SOCIAL INTERCOMMUNAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;23;1;"ETABLISSEMENTSOCIALET MEDICO-SOCIAL REGIONAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;26;1;"AUTRE ETABLISSEMENT PUBLIC A CARACTERE ADMINISTRATIF";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;27;1;"ETABLISSEMENT PUBLIC A CARACTERE INDUSTRIELET COMMERCIAL NATIONAL";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;28;1;"GROUPEMENT D INTERET PUBLIC (G.I.P.)";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;29;1;"GROUPEMENT DE COOPERATIONSANITAIRE (GCS) A GESTION  PUBLIQUE";2;" ETABLISSEMENTS PUBLICS"
"IR_SJE_V";0;NA;2;1;"DEPARTEMENT";1;" ETAT ET COLLECTIVITES TERRITORIALES"
"IR_SJE_V";0;NA;3;1;"COMMUNE";1;" ETAT ET COLLECTIVITES TERRITORIALES"
"IR_SJE_V";0;NA;40;2;"REGIME GENERALSECURITESOCIALE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;41;2;"REGIMESPECIALSECURITESOCIALE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;42;2;"INSTITUTION DE PREVOYANCE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;43;2;"MUTUALITESOCIALE AGRICOLE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;44;2;"REGIME MALADIE DES PROFESSIONS INDEPENDANTES";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;45;2;"REGIME VIEILLESSE DIFFERENT DU REGIME GENERAL";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;46;2;"AUTRE REGIME DE PREVOYANCESOCIALE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;47;2;"SOCIETE MUTUALISTE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;48;2;" ASSURANCE MUTUELLE AGRICOLE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;49;2;" AUTRE ORGANISME MUTUALISTE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;4;1;"REGION";1;" ETAT ET COLLECTIVITES TERRITORIALES"
"IR_SJE_V";0;NA;50;2;"COMITE D ENTREPRISE ET D ETABLISSEMENT";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;51;2;"SYNDICAT";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;52;2;"SYNDICAT DE PROPRIETAIRES";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;5;1;"TERRITOIRE D OUTRE MER";1;" ETAT ET COLLECTIVITES TERRITORIALES"
"IR_SJE_V";0;NA;60;2;"ASSOCIATION 1901 NON RECONNUE D UTILITE PUBLIQUE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;61;2;"ASSOCIATION 1901 RECONNUE D UTILITE PUBLIQUE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;62;2;"ASSOCIATION DROIT LOCAL (BAS-RHIN, HAUT-RHIN, MOSELLE)";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;63;2;"FONDATION";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;64;2;"CONGREGATION";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;65;2;"AUTRE ORGANISME PRIVE A BUT NON LUCRATIF";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;6;1;"AUTRE COLLECTIVITE TERRITORIALE";1;" ETAT ET COLLECTIVITES TERRITORIALES"
"IR_SJE_V";0;NA;70;2;" PERSONNE PHYSIQUE";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;71;2;"SOCIETE EN NOM COLLECTIF (S.N.C.)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;72;2;"SOCIETE A RESPONSABILITE LIMITEE (S.A.R.L.)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;73;2;"SOCIETE ANONYME (S.A.)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;74;2;"SOCIETE CIVILE";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;75;2;"AUTRE SOCIETE  (COMMANDITE, COOPERATIVE COMMERCIALE PARTICULIERE, INDIVISION,SOCIETE DE FAIT,SOCIETE EN PARTICIPATION,SOCIETE COMMERCIALE PARTICULIERE)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;76;2;"GROUPEMENT  D INTERET  ECONOMIQUE (G.I.E.)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;77;2;"AUTRE ORGANISME PRIVE A CARACTERE COMMERCIAL";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;78;2;"ENTREPRISE UNIPERSONNELLE A RESPONSABILITE LIMITEE (E.U.R.L.)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;79;2;"SOCIETE CIVILE DE MOYENS (S.C.M.)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;85;2;"SOCIETE D EXERCICE LIBERAL A RESPONSABILITE LIMITEE (S.E.L.A.R.L.)";5;"SOCIETE D EXERCICE LIBERAL"
"IR_SJE_V";0;NA;86;2;"SOCIETE D EXERCICE LIBERAL A FORME ANONYME (S.E.L.A.F.A.)";5;"SOCIETE D EXERCICE LIBERAL"
"IR_SJE_V";0;NA;87;2;"SOCIETE D EXCERCICE LIBERAL EN COMMANDITE PAR ACTIONS (S.E.L.C.A.)";5;"SOCIETE D EXERCICE LIBERAL"
"IR_SJE_V";0;NA;88;2;"SOCIETE CIVILE PROFESSIONNELLE";5;"SOCIETE D EXCERCICE LIBERAL"
"IR_SJE_V";0;NA;89;2;"GROUPEMENT DE COOPERATIONSANITAIRE (GCS) A GESTION  PRIVEE";3;" ORGANISMES PRIVES A BUT NON LUCRATIF"
"IR_SJE_V";0;NA;90;2;"PERSONNE MORALE DE DROIT ETRANGER";7;" AUTRES ORGANISMES PRIVES"
"IR_SJE_V";1;NA;99;9;"VALEUR INCONNUE";9;"VALEUR INCONNUE"
"IR_SJE_V";0;NA;80;2;"Soc. Interprof. de soins ambulatoires (SISA)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
"IR_SJE_V";0;NA;95;2;"SOCIETE PAR ACTIONS SIMPLIFIEES ( SAS)";4;" ORGANISMES PRIVES A CARACTERE COMMERCIAL"
