"nom_table";"TEC_COL";"SPE_LIB_SNI";"CPT_COP_NUM";"PFS_SPE_COD";"PFS_SPE_LIB";"PFS_SPE_STA";"PFS_SPE_POS";"SPE_POS_LIB";"PFS_SPE_OMS";"SPE_OMS_LIB"
"IR_SPE_V";2;"NON RENSEIGNE";NA;0;"NON RENSEIGNE";9;0;"NON RENSEIGNE";0;"NON RENSEIGNE"
"IR_SPE_V";0;"MEDECINE GENERALE";NA;1;"MEDECINE GENERALE";1;1;"MEDECINS OMNIPRATICIENS";1;"MEDECINS OMNIPRATICIENS"
"IR_SPE_V";0;"ANESTHESIE REANIMAT. CHIR.";NA;2;"ANESTHESIOLOGIE - REANIMATION CHIRURGICALE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"PATHOL. CARDIO-VASCULAIRE";NA;3;"PATHOLOGIE CARDIO-VASCULAIRE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"CHIRURGIE GENERALE";NA;4;"CHIRURGIE GENERALE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"DERMATOLOGIE VENEREOLOGIE";NA;5;"DERMATOLOGIE ET VENEROLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"RADIODIAGNOSTIC IMAGERIE";NA;6;"RADIODIAGNOSTIC ET IMAGERIE MEDICALE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"GYNECOLOGIE OBSTETRIQUE";NA;7;"GYNECOLOGIE OBSTETRIQUE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"GASTRO-ENTEROLOGIE HEPAT.";NA;8;"GASTRO-ENTEROLOGIE ET HEPATOLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"MEDECINE INTERNE";NA;9;"MEDECINE INTERNE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"NEURO-CHIRURGIE";NA;10;"NEUROCHIRURGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"OTO-RHINO-LARYNGOLOGIE";NA;11;"OTO RHINO-LARYNGOLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"PEDIATRIE";NA;12;"PEDIATRIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"PNEUMOLOGIE";NA;13;"PNEUMOLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"RHUMATOLOGIE";NA;14;"RHUMATOLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"OPHTALMOLOGIE";NA;15;"OPHTALMOLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"CHIRURGIE UROLOGIQUE";NA;16;"CHIRURGIE UROLOGIQUE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"NEUROPSYCHIATRIE";NA;17;"NEUROPSYCHIATRIE";1;3;"PSYCHIATRES, NEUROPSYCHIATRES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"STOMATOLOGIE";NA;18;"STOMATOLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"REANIMATION INTENSIVE MEDICALE";NA;20;"REANIMATION INTENSIVE MEDICALE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"SPEC.MEDECINE GENERALE DIP";NA;22;"SPECIALISTE EN MEDECINE GENERALE AVEC DIPLÔME";1;1;"MEDECINS OMNIPRATICIENS";1;"MEDECINS OMNIPRATICIENS"
"IR_SPE_V";0;"SPEC.MEDECINE GENERALE REC";NA;23;"SPECIALITE EN MED. GENERALE RECONNUE PAR L'ORDRE";1;1;"MEDECINS OMNIPRATICIENS";1;"MEDECINS OMNIPRATICIENS"
"IR_SPE_V";0;"MED. PHYSIQUE READAPTATION";NA;31;"MEDECINE PHYSIQUE ET DE READAPTATION";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"NEUROLOGIE";NA;32;"NEUROLOGIE";1;3;"PSYCHIATRES, NEUROPSYCHIATRES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"PSYCHIATRIE GENERALE";NA;33;"PSYCHIATRIE GENERALE";1;3;"PSYCHIATRES, NEUROPSYCHIATRES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"GERIATRIE";NA;34;"GERIATRIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"NEPHROLOGIE";NA;35;"NEPHROLOGIE";1;2;"MEDECINS SPECIALISTES";2;"MEDECINS SPECIALISTES"
"IR_SPE_V";0;"CHIR. DENTAIRE SPEC.O.D.F.";NA;36;"CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.)";4;5;"DENTISTES";5;"DENTISTES"
