"nom_table";"TEC_COL";"CPT_COP_NUM";"SVI_COD";"SVI_LIB"
"IR_SVI_V";2;NA;0;"INDICATEUR NON CALCULE (sans objet)"
"IR_SVI_V";0;NA;11;"N° RPPS NON TRANSMIS (HORS SCANNERISATION)"
"IR_SVI_V";0;NA;12;"N° RPPS NON TRANSMIS (SCANNERISATION)"
"IR_SVI_V";0;NA;13;"N° RPPS NON TRANSMIS (BULLETIN D'HOSPITALISATION)"
"IR_SVI_V";0;NA;14;"N° RPPS NON TRANSMIS (NORME ANTERIEURE B2, NX)"
"IR_SVI_V";0;NA;15;"N° RPPS NON TRANSMIS (NORME ANTERIEURE SCAN)"
"IR_SVI_V";0;NA;16;"N° RPPS NON TRANSMIS QF"
"IR_SVI_V";0;NA;21;"N° RPPS NON NUMERIQUE"
"IR_SVI_V";0;NA;22;"CLE N° RPPS ERRONEE OU N° RPPS NON NUMERIQUE POUR LA SCAN"
"IR_SVI_V";0;NA;23;"CLE OK MAIS EXISTENCE NON VERIFIEE AU REFERENTIEL"
"IR_SVI_V";1;NA;99;"VALEUR INCONNUE"
