"nom_table";"TEC_COL";"PRS_ANO_COD";"RAN_COD";"PRS_ANO_LIB";"CPT_COP_NUM"
"IR_TAN_V";0;"I0405";"I";"acte incompati. avec ep transmis";NA
"IR_TAN_V";0;"I0406";"I";"entente prealable possible";NA
"IR_TAN_V";0;"I0407";"I";"ald non trouv en bdo mais rgm exo";NA
"IR_TAN_V";0;"I0408";"I";"etm bdo non transmise /flux sesam";NA
"IR_TAN_V";0;"I0409";"I";"mtm bdo differente sur flux sesam";NA
"IR_TAN_V";0;"I0410";"I";"exoneration de type ps en bdo";NA
"IR_TAN_V";0;"I0411";"I";"exoneration type ps en bdo et tp";NA
"IR_TAN_V";0;"I0412";"I";"prescripteur etab. hors region";NA
"IR_TAN_V";0;"I0413";"I";"org. compl. inconnu dans la bdo";NA
"IR_TAN_V";0;"I0414";"I";"org. compl. absent  bdo assure";NA
"IR_TAN_V";0;"I0415";"I";"absence org.compl.bdo assure";NA
"IR_TAN_V";0;"I0416";"I";"absence contrat 89 et mut 9999997";NA
"IR_TAN_V";0;"I0417";"I";"incompatibilite regime / mutuelle";NA
"IR_TAN_V";0;"I0418";"I";"Situation d'exoneration inconnue pour le bénéficiaire";NA
"IR_TAN_V";0;"I0501";"I";"numero d'adherent inconnu bdo";NA
"IR_TAN_V";0;"I0502";"I";"contrat mutuelle incorrect";NA
"IR_TAN_V";0;"I0503";"I";"type de contrat absent de la bdo";NA
"IR_TAN_V";0;"I0504";"I";"incomp. nat. prest/agrement radio";NA
"IR_TAN_V";0;"I0505";"I";"incomp. nat. prest./systeme hono.";NA
"IR_TAN_V";0;"I0506";"I";"actes mult. au cours meme seance";NA
"IR_TAN_V";0;"I0507";"I";"majoration anesthesie a verifier";NA
"IR_TAN_V";0;"I0508";"I";"incomp.acte principal/anesthesie";NA
"IR_TAN_V";0;"I0509";"I";"incomp. forf.chirurgie/acte chir";NA
"IR_TAN_V";0;"I0510";"I";"absence acte associe";NA
"IR_TAN_V";0;"I0511";"I";"limitation du prix de l'acte mpi";NA
"IR_TAN_V";0;"I0512";"I";"cures proratisees";NA
