"nom_table";"TEC_COL";"CPT_COP_NUM";"TAU_COD";"TAU_LIB";"TAU_RGT"
"IR_TAU_V";2;NA;0;"SANS OBJET";1
"IR_TAU_V";0;NA;5;"COMPLEMENT DE 5 %";2
"IR_TAU_V";0;NA;10;"COMPLEMENT DE 10 %";2
"IR_TAU_V";0;NA;15;"COMPLEMENT DE 15 %";2
"IR_TAU_V";0;NA;20;"COMPLEMENT DE 20 %";2
"IR_TAU_V";0;NA;25;"COMPLEMENT DE 25 %";2
"IR_TAU_V";0;NA;30;"COMPLEMENT DE 30 %";2
"IR_TAU_V";0;NA;35;"35 % ET COMPLEMENT DE 35 %";2
"IR_TAU_V";0;NA;37,5;"37.5 %";2
"IR_TAU_V";0;NA;40;"40 % ET COMPLEMENT DE 40 %";2
"IR_TAU_V";0;NA;45;"45 % ET COMPLEMENT DE 45 %";2
"IR_TAU_V";0;NA;47,5;"47.5 %";2
"IR_TAU_V";0;NA;50;"50 % ET COMPLEMENT DE 50 %";2
"IR_TAU_V";0;NA;52,5;"COMPLEMENT DE 52.5 %";2
"IR_TAU_V";0;NA;55;"55 % ET COMPLEMENT DE 55 %";2
"IR_TAU_V";0;NA;60;"60 % ET COMPLEMENT DE 60 %";2
"IR_TAU_V";0;NA;62,5;"COMPLEMENT DE 62.5 %";2
"IR_TAU_V";0;NA;65;"65 % ET COMPLEMENT DE 65 %";2
"IR_TAU_V";0;NA;70;"70%";2
"IR_TAU_V";0;NA;75;"75%";2
"IR_TAU_V";0;NA;80;"80%";2
"IR_TAU_V";0;NA;85;"85%";2
"IR_TAU_V";0;NA;90;"90%";2
"IR_TAU_V";0;NA;100;"100%";1
"IR_TAU_V";0;NA;145;"145%";1
"IR_TAU_V";1;NA;999;"VALEUR INCONNUE";9
"IR_TAU_V";0;NA;95;"95%";2
