"nom_table";"TEC_COL";"CPT_COP_NUM";"ETB_PPU_SEC";"ETB_TYP_COD";"ETB_TYP_LIB"
"IR_TYE_V";1;NA;9;99;"VALEUR INCONNUE"
"IR_TYE_V";0;NA;2;0;"AMBULATOIRE SECTEUR LIBERAL"
"IR_TYE_V";0;NA;1;1;"PUBLIC PROPREMENT DIT"
"IR_TYE_V";0;NA;1;2;"PSPH PRIVE A BUT NON LUCRATIF PARTICIPANT AU SERVICE PUBLIC HOSPITALIER"
"IR_TYE_V";0;NA;1;3;"EX PJP AYANT OPTE POUR LE BG"
"IR_TYE_V";0;NA;2;4;"PRIVE LUCRATIF CONVENTIONNE"
"IR_TYE_V";0;NA;2;5;"PRIVE LUCRATIF NON CONVENTIONNE"
"IR_TYE_V";0;NA;2;6;"PRIVE NON LUCRATIF CONVENTIONNE"
"IR_TYE_V";0;NA;2;7;"PRIVE NON LUCRATIF NON CONVENTIONNE"
"IR_TYE_V";0;NA;2;8;"OQN NON LUCRATIF CONVENTIONNE"
"IR_TYE_V";0;NA;2;9;"OQN LUCRATIF CONVENTIONNE"
