"nom_table";"TEC_COL";"CPT_COP_NUM";"PRS_REM_TYP";"REM_TYP_LIB"
"IR_TYR_V";0;NA;0;"PRESTATION DE REFERENCE"
"IR_TYR_V";0;NA;1;"COMPLEMENT D ACTE"
"IR_TYR_V";0;NA;2;"TICKET MODERATEUR HORS CMU"
"IR_TYR_V";0;NA;3;"SUPPLEMENT HORS ALSACE MOSELLE"
"IR_TYR_V";0;NA;4;"SUPPLEMENT ALSACE MOSELLE"
"IR_TYR_V";0;NA;5;"TICKET MODERATEUR  CMU"
"IR_TYR_V";0;NA;6;"FORFAIT CMU"
"IR_TYR_V";0;NA;7;"AME"
"IR_TYR_V";0;NA;10;"Part oc ACS"
"IR_TYR_V";1;NA;99;"VALEUR INCONNUE"
"IR_TYR_V";0;NA;11;"PART SPECIFIQUE CRPCEN"
"IR_TYR_V";0;NA;12;"PART SPECIFIQUE CANSSM"
