Code Produit;Nom_Table;LIBELLE_Table;VARIABLE;LIBELLE;FamilleConcept;Longueur variable;Type variable;Chemin;VALEUR;Elementaire;ClasseDonnée;RdG;ObservationVariable;SensibleMédical;TypeObjet;ModeAccès;ObservationProduitVariable;liaison;observ cumul;Réferentiel;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;ASS_NIR_ANO;Matricule anonymisé de l'ouvreur de droits;Bénéficiaires;17;Caractère;;;;;;;;;SAS Guide;;IR_BEN_RASS_NIR_ANO;"
0";;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_IDT_ANO;Identifiant bénéficiaire anonymisé;Bénéficiaires;18;Varchar;;;Calculée;;;;;;SAS Guide;;IR_BEN_RBEN_IDT_ANO;"
0";;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_IDT_TOP;Top identifiant bénéficiaire Anonymisé;Bénéficiaires;1;Numérique;;;Calculée;;;;;;SAS Guide;;IR_BEN_RBEN_IDT_TOP;"
0";;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_CDI_NIR;Code d'identification du NIR ;Bénéficiaires;2;Caractère;;IR_NIR_V;;;;;;;SAS Guide;;IR_BEN_RBEN_CDI_NIR;"
0";;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_DCD_AME;Année et mois de décès du bénéficiaire;Bénéficiaires;6;Caractère;;;;;;;;;SAS Guide;;IR_BEN_RBEN_DCD_AME;;;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_DCD_DTE;Date de décès du bénéficiaire;Bénéficiaires;;Date;;IR_DTE_V;;;;;donnée sensible;;SAS Guide;;IR_BEN_RBEN_DCD_DTE;;;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_DTE_INS;Date d'insertion dans le référentiel;Technique;;Date;;IR_DTE_V;;;;;;;SAS Guide;;IR_BEN_RBEN_DTE_INS;;;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_DTE_MAJ;Date de mise à jour;Technique;;Date;;IR_DTE_V;;;;;;;SAS Guide;;IR_BEN_RBEN_DTE_MAJ;;;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_NAI_ANN;Année de naissance du bénéficiaire;Bénéficiaires;4;Caractère;;;;;;;donnée sensible;;SAS Guide;;IR_BEN_RBEN_NAI_ANN;;;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_NAI_MOI;Mois de naissance du bénéficiaire;Bénéficiaires;2;Caractère;;;;;;;;;SAS Guide;;IR_BEN_RBEN_NAI_MOI;;;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_NIR_ANO;NIR pseudonymisé du bénéficiaire;Bénéficiaires;17;Caractère;;;;;;;;;SAS Guide;;IR_BEN_RBEN_NIR_ANO;"
0";;;
IR_BEN_R;IR_BEN_R;Référentiel des bénéficiaires du SNIIRAM-SNDS;BEN_NIR_PSA;Identifiant anonyme du patient dans le SNIIRAM;Bénéficiaires;17;caractère;;;Elémentaire;;;;;;SAS Guide;;IR_BEN_RBEN_NIR_PSA;"
0";référentiel des bénéficiaires du SNIIRAM IR_BEN_R;;
