Nom_Table;Libellé_Table;Nom_Variable;Type;Longueur;Libellé_Variable;Variables de  jointure;Année_Présence;Année_Suppression;Observations;règle de gestion;Concepts;Année_présence table;Année_suppression_table;sensible_medical
T_HADaaA;Table des actes;ACT_COD;Caractère;1;Code de l'activité;;2010;;;;;2010;;
T_HADaaA;Table des actes;CCAM_COD;Caractère;7;Code de l'acte CCAM (hors extension PMSI);;2010;;;;;2010;;
T_HADaaA;Table des actes;DEL_DEB_SSEQ;Numérique;;Délai depuis le début de la sousséquence;;2010;;;;;2010;;
T_HADaaA;Table des actes;ETA_NUM_EPMSI;Caractère;9;N° FINESS e-PMSI;;2010;;;;;2010;;
T_HADaaA;Table des actes;ETA_NUM_GEO;Caractère;9;Numéro FINESS de l’établissement (code géographique);;2017;;remplace la variable ETA_NUM_TWO;;;2010;;
T_HADaaA;Table des actes;ETA_NUM_TWO;Caractère;9;Numéro FINESS de l’établissement (code géographique);;2010;2017;;;;2010;;
T_HADaaA;Table des actes;EXT_DOC;Caractère;1;Extension documentaire;;2010;;;;;2010;;
T_HADaaA;Table des actes;EXT_PMSI;Caractère;2;Extension PMSI;;2015;;;;;2010;;
T_HADaaA;Table des actes;PHA_COD;Caractère;1;Code de la phase;;2010;;;;;2010;;
T_HADaaA;Table des actes;REAL_NBR;Numérique;;Nombre de réalisations;;2010;;;;;2010;;
T_HADaaA;Table des actes;RHAD_NUM;Caractère;5;N° séquentiel de séjour d'HAD;;2010;;;;;2010;;
T_HADaaA;Table des actes;SEQ_NUM;Caractère;4;N° de la séquence dans le séjour;;2010;;;;;2010;;
T_HADaaA;Table des actes;SSEQ_NUM;Caractère;4;N° de la sous-séquence;;2010;;;;;2010;;
T_HADaaA;Table des actes;VAL_DAT_SSEQ;Caractère;1;Dates de validité de l'acte compatibles avec les dates de la sousséquence;;2010;;;;;2010;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AGE_ANN;Numérique;;Age en années;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AGE_JOU;Numérique;;Age en jours;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AVQ_ALI;Caractère;1;Cotation dépendance AVQ, alimentation;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AVQ_CON;Caractère;1;Cotation dépendance AVQ, continence;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AVQ_CPT;Caractère;1;Cotation dépendance AVQ, comportement;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AVQ_HAB;Caractère;1;Cotation dépendance AVQ, habillage/toilette;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AVQ_LOC;Caractère;1;Cotation dépendance AVQ, locomotion;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);AVQ_REL;Caractère;1;Cotation dépendance AVQ, relation;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);BDI_COD;Caractère;5;Code géographique;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);BDI_DEP;Caractère;2;Code département;;2005;;Variable créée par CNAMTS;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);COD_CONF;Caractère;1;Confirmation de codage;;2012;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);COD_SEX;Caractère;1;Sexe du patient;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);DEP_COT;Caractère;3;Cotation dépendance selon Karnofsky;;2005;;;;;2005;;
T_HADaaB;Table des Résumés Anonyme Par Sous-Séquence (RAPSS);DGN_PAL;Caractère;6;Diagnostic principal;;2005;;Variable non présente en 2012 et 2013;;;2005;;
