Nom_Table;Libellé_Table;Nom_Variable;Type;Longueur;Libellé_Variable;Variables de  jointure;Année_Présence;Année_Suppression;Observations;règle de gestion;Concepts;Année_présence table;Année_suppression_table;sensible_medical
T_MCOaaA;Acte CCAM;ACV_ACT;Caractère;1;Activité;NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;ANP_ACT;Caractère;1;Association non prévue;NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;CDC_ACT;Caractère;7;Code CCAM (hors extension PMSI);NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;CMP_DAT;Caractère;1;Dates de validité de l'acte compatibles avec les dates du RUM;NON;2010;;;;;2005;;non
T_MCOaaA;Acte CCAM;DOC_ACT;Caractère;1;Extension documentaire;NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;ENT_DAT_DEL;Numérique;3;"Délai depuis la date d'entrée
Variable de type Caractère de 2005 à 2013, puis de type numérique à partir de 2014";NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;ETA_NUM;Caractère;9;Numéro FINESS e-PMSI;OUI;2005;;;1 enregistrement par acte exécuté, Il y a autant de lignes que de NBR_ACT (table B);;2005;;non
T_MCOaaA;Acte CCAM;EXT_PMSI;Caractère;3;Extension PMSI;;2015;;;;;2005;;
T_MCOaaA;Acte CCAM;MOD_ACT;Caractère;4;Modificateurs;NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;NBR_EXE_ACT;Numérique;2;Nombre de réalisations de l'acte n° 1 pendant le séjour;NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;PHA_ACT;Caractère;1;Phase;NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;REM_EXP_ACT;Caractère;1;Remboursement exceptionnel;NON;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;RSA_NUM;Caractère;10;N° d'index du RSA ;OUI;2005;;;;;2005;;non
T_MCOaaA;Acte CCAM;RSS_NUM;Caractère;3;Numéro de version du format du RSA;NON;2005;;;;;2005;;non
T_MCOaaB;Description du Séjour;AGE_ANN;Numérique;3;Age en années ;NON;2005;;Observations 2010 : Attention si < 1 an utiliser la variable AGE_JOU (4,4%=vide);une ligne par séjour (ETA_NUM/RSA_NUM);;2005;;non
T_MCOaaB;Description du Séjour;AGE_GES;Numérique;2;Age gestationnel;NON;2008;;"Observations 2010 : Il est exprimé en nombre de semaines révolues d'aménorrhée.
Observations 2011 : 211";une ligne par séjour (ETA_NUM/RSA_NUM);;2005;;non
T_MCOaaB;Description du Séjour;AGE_JOU;Numérique;3;Age en jours  ;NON;2005;;"Observations 2010 : Attention si > 1 an utiliser la variable AGE_ANN; attention qq chiffres négatifs et sur les 4,4% renseignez la plupart sont à 0 : 3,4%=0";une ligne par séjour (ETA_NUM/RSA_NUM);;2005;;non
T_MCOaaB;Description du Séjour;ANT_SUP_NBR;Numérique;3;Nombre de suppléments antepartum;;2012;;;;;2005;;
T_MCOaaB;Description du Séjour;AUT_PGV_NBR;Numérique;1;Nombre d'autorisations d'unités médicales à portée globale valides (Nb_AutPGV);;2012;;;;;2005;;
T_MCOaaB;Description du Séjour;BDI_COD;Caractère;5;Code géographique de résidence ;NON;2005;;Observations 2010 : En général code postal (pour les exceptions voir div_var)- les DOM sont au format 9Axxx à 9Jxxx.;une ligne par séjour (ETA_NUM/RSA_NUM);;2005;;donnée sensible
T_MCOaaB;Description du Séjour;BDI_DEP;Caractère;2;Code département de résidence;NON;2005;;"
Observations 2017 : Variable créée par CNAMTS";une ligne par séjour (ETA_NUM/RSA_NUM);;2005;;non
T_MCOaaB;Description du Séjour;BEB_SEJ;Caractère;1;Type de séjour inférieur à la borne extrême basse;NON;2005;;"Observations 2010 : à un impact sur la tarification; vaut 1 si le séjour est de durée inférieure à la borne basse du GHS et 0 sinon. ";une ligne par séjour (ETA_NUM/RSA_NUM);;2005;;non
