Nom_Table;Libellé_Table;Nom_Variable;Type;Longueur;Libellé_Variable;Variables de  jointure;Année_Présence;Année_Suppression;Observations;règle de gestion;Concepts;Année_présence table;Année_suppression_table;sensible_medical
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;ETA_NUM_EPMSI;Caractère;9;N° FINESS e-PMSI;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;FOR_NUM;Caractère;3;N° format;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;FOR_NUM_ORI;Caractère;3;N° format RIM d'orgine;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;ETA_NUM_TWO;Caractère;9;Second n° FINESS;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;IPP_IRR_CRY;Caractère;16;Cryptage irreversible de l'IPP;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;SEJ_IDT;Caractère;5;Identifiant de séjour;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;AGE_ANN;Numérique;0;Age du patient en années à la date de réalisation de l'acte;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;AGE_JOU;Numérique;0;Age du patient en jours pour les enfants de moins d'un an;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;COD_SEX;Caractère;1;Sexe du patient;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;BDI_COD;Caractère;5;Code géographique de résidence;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;BDI_DEP;Caractère;2;Code département de résidence;;2007;;Variable créée par CNAMTS;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;FOR_ACT;Caractère;2;Forme d'activité;;2012;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;SEC_NUM;Caractère;5;N°de secteur ou de dispositif intersectoriel;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;MOD_SOI;Caractère;1;Mode légal de soins;;2012;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;ORD_NUM;Caractère;8;N° d'ordre;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;RAL_ACT_MOI;Caractère;2;Mois de la date de réalisation de l'acte;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;RAL_ACT_ANN;Caractère;4;Année de la date de réalisation de l'acte;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;ACT_NAT;Caractère;1;Nature de l’acte;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;ACT_LIEU;Caractère;3;Lieu de l’acte;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;PRO_CAT;Caractère;1;Catégorie professionnelle de l’intervenant;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;INT_NBR;Numérique;0;Nombre d’intervenants;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;ANO_IND;Caractère;1;Indicateur d'anomalie;;2012;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;ACT_LIB_IND;Caractère;1;Indicateur d’activité libérale;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;DGN_PAL;Caractère;6;Diagnostic principal ou motif de prise en charge principale;;2007;;;;;2007;;
T_RIPaaR3A;Résumé par acte ambulatoire anonymisé;NBR_DGN;Numérique;0;Nombre de diagnostics et facteurs associés;;2007;;;;;2007;;
T_RIPaaR3AD;Diagnostic associé à l'acte;ETA_NUM_EPMSI;Caractère;9;N° FINESS e-PMSI;;2007;;;;;2007;;
T_RIPaaR3AD;Diagnostic associé à l'acte;ETA_NUM_TWO;Caractère;9;Second n° FINESS;;2007;;;;;2007;;
T_RIPaaR3AD;Diagnostic associé à l'acte;SEJ_IDT;Caractère;5;Identifiant de séjour;;2011;;;;;2007;;
T_RIPaaR3AD;Diagnostic associé à l'acte;IPP_IRR_CRY;Caractère;16;Cryptage irreversible de l'IPP;;2007;;;;;2007;;
T_RIPaaR3AD;Diagnostic associé à l'acte;ORD_NUM;Caractère;8;N° d'ordre;;2007;;;;;2007;;
T_RIPaaR3AD;Diagnostic associé à l'acte;ASS_DGN;Caractère;6;Diagnostics et facteurs associés;;2007;;;;;2007;;
T_RIPaaRSA;Résumé par séquence;ETA_NUM_EPMSI;Caractère;9;N° FINESS e-PMSI;;2007;;;;;2007;;
T_RIPaaRSA;Résumé par séquence;FOR_NUM;Caractère;3;N° format;;2007;;;;;2007;;
T_RIPaaRSA;Résumé par séquence;FOR_NUM_ORI;Caractère;3;N° format RIM d'orgine;;2007;;;;;2007;;
T_RIPaaRSA;Résumé par séquence;ETA_NUM_TWO;Caractère;9;Second n° FINESS;;2007;;;;;2007;;
T_RIPaaRSA;Résumé par séquence;IPP_IRR_CRY;Caractère;16;Cryptage irreversible de l'IPP;;2007;;;;;2007;;
T_RIPaaRSA;Résumé par séquence;SEJ_IDT;Caractère;5;Identifiant de séjour;;2007;;;;;2007;;
T_RIPaaRSA;Résumé par séquence;AGE_ANN;Numérique;0;Age du patient en années;;2007;;;;;2007;;
