table,var,created,deleted,missings
ER_ARO_F,ARO_ASU_NAT,2006,2019,
ER_ARO_F,ARO_CPL_COD,2006,2019,
ER_ARO_F,ARO_ENV_TYP,2006,2019,
ER_ARO_F,ARO_FJH_TYP,2006,2019,
ER_ARO_F,ARO_FTA_COD,2006,2019,
ER_ARO_F,ARO_MIN_TAU,2006,2019,
ER_ARO_F,ARO_MOD_MNT,2006,2019,
ER_ARO_F,ARO_ORD_NUM,2006,2019,
ER_ARO_F,ARO_PRS_NAT,2006,2019,
ER_ARO_F,ARO_REM_BSE,2006,2019,
ER_ARO_F,ARO_REM_MNT,2006,2019,
ER_ARO_F,ARO_REM_PRU,2006,2019,
ER_ARO_F,ARO_REM_SGN,2006,2019,
ER_ARO_F,ARO_REM_TAU,2006,2019,
ER_ARO_F,ARO_REM_TYP,2006,2019,
ER_ARO_F,ARO_THE_TAU,2006,2019,
ER_ARO_F,DCT_ORD_NUM,2006,2019,
ER_ARO_F,FLX_DIS_DTD,2006,2019,
ER_ARO_F,FLX_EMT_NUM,2006,2019,
ER_ARO_F,FLX_EMT_ORD,2006,2019,
ER_ARO_F,FLX_EMT_TYP,2006,2019,
ER_ARO_F,FLX_TRT_DTD,2006,2019,
ER_ARO_F,ORG_CLE_NEW,2006,2019,
ER_ARO_F,ORG_CLE_NUM,2006,2019,
ER_ARO_F,PRS_ORD_NUM,2006,2019,
ER_ARO_F,REM_TYP_AFF,2006,2019,
ER_BIO_F,BIO_ACT_QSN,2006,2019,
ER_BIO_F,BIO_ORD_NUM,2006,2019,
ER_BIO_F,BIO_PRS_IDE,2006,2019,
ER_BIO_F,DCT_ORD_NUM,2006,2019,
ER_BIO_F,FLX_DIS_DTD,2006,2019,
ER_BIO_F,FLX_EMT_NUM,2006,2019,
ER_BIO_F,FLX_EMT_ORD,2006,2019,
ER_BIO_F,FLX_EMT_TYP,2006,2019,
ER_BIO_F,FLX_TRT_DTD,2006,2019,
ER_BIO_F,ORG_CLE_NEW,2006,2019,
ER_BIO_F,ORG_CLE_NUM,2006,2019,
ER_BIO_F,PRS_ORD_NUM,2006,2019,
ER_BIO_F,REM_TYP_AFF,2006,2019,
ER_CAM_F,CAM_ACT_COD,2006,2019,
ER_CAM_F,CAM_ACT_PRU,2006,2019,
ER_CAM_F,CAM_ASS_COD,2006,2019,
ER_CAM_F,CAM_CAB_IND,2006,2019,
ER_CAM_F,CAM_DOC_EXT,2006,2019,
ER_CAM_F,CAM_GRI_TAR,2009,2019,
ER_CAM_F,CAM_MI1_MNT,2006,2019,
ER_CAM_F,CAM_MI2_MNT,2006,2019,
